date,0-14,15-29,30-44,45-59,60 plus
2020-09-01,21,85,68,34,37
2020-09-02,33,128,75,66,48
2020-09-03,21,124,74,65,31
2020-09-04,44,132,78,49,36
2020-09-05,36,101,65,38,35
2020-09-06,25,96,67,65,24
2020-09-07,48,148,100,101,56
2020-09-08,54,131,101,84,51
2020-09-09,36,125,87,66,55
2020-09-10,54,133,124,66,41
2020-09-11,73,128,105,69,50
2020-09-12,37,88,86,81,42
2020-09-13,31,71,61,31,34
2020-09-14,51,121,141,104,68
2020-09-15,71,134,140,118,56
2020-09-16,68,189,200,141,76
2020-09-17,85,196,190,128,60
2020-09-18,69,209,171,131,59
2020-09-19,85,217,176,117,64
2020-09-20,80,228,191,117,64
2020-09-21,68,186,154,115,56
2020-09-22,87,279,229,139,89
2020-09-23,83,300,232,141,75
2020-09-24,89,353,224,166,101
2020-09-25,83,388,200,143,73
2020-09-26,64,329,164,139,75
2020-09-27,71,491,171,161,62
2020-09-28,102,550,239,207,114
2020-09-29,110,663,236,206,158
2020-09-30,85,790,279,244,108
2020-10-01,101,731,296,284,150
2020-10-02,118,634,304,242,142
2020-10-03,83,492,264,248,121
2020-10-04,79,423,278,229,114
2020-10-05,145,590,466,402,223
2020-10-06,142,656,425,358,253
2020-10-07,121,566,431,332,260
2020-10-08,129,555,373,366,240
2020-10-09,130,466,344,332,224
2020-10-10,88,368,284,298,203
2020-10-11,95,313,299,268,185
2020-10-12,158,553,476,425,320
2020-10-13,146,525,487,393,256
2020-10-14,150,555,506,433,306
2020-10-15,139,481,417,417,276
2020-10-16,136,454,424,360,289
2020-10-17,127,376,399,387,275
2020-10-18,127,380,373,321,207
2020-10-19,227,614,743,660,407
2020-10-20,257,659,676,659,439
2020-10-21,198,634,701,613,437
2020-10-22,167,543,605,522,417
2020-10-23,184,549,588,523,373
