date,over 80 proportion,rolling average
2020-11-01,60.13986013986013,59.342961036747745
2020-11-02,61.267605633802816,59.72996776178264
2020-11-03,59.450171821305844,59.50725312026539
2020-11-04,61.73285198555957,60.64315874605362
2020-11-05,61.58940397350994,60.66367600905074
2020-11-06,61.261261261261254,60.435692923924805
2020-11-07,57.22891566265061,60.381438639707184
2020-11-08,60.70381231671554,60.46200323640081
2020-11-09,59.10224438902743,60.152665915718615
2020-11-10,62.06896551724138,60.52677930085226
2020-11-11,55.12820512820513,59.5832583212302
2020-11-12,62.39316239316239,59.698080952609125
2020-11-13,56.74157303370787,59.05241120581578
2020-11-14,65.64245810055866,60.254345839802646
2020-11-15,57.59162303664922,59.80974737122175
2020-11-16,61.452513966480446,60.14550016800075
2020-11-17,60.82191780821918,59.9673504952833
2020-11-18,64.28571428571429,61.27556608921317
2020-11-19,61.20906801007556,61.106409748772194
2020-11-20,57.84061696658098,61.26341602489692
2020-11-21,64.07035175879398,61.03882940464483
2020-11-22,63.456790123456784,61.87671041704591
2020-11-23,59.20398009950249,61.55549129319191
2020-11-24,61.330049261083744,61.62808150074399
2020-11-25,59.66981132075472,60.96866679146405
2020-11-26,57.2972972972973,60.4098424039243
2020-11-27,61.32596685082873,60.907749530245404
2020-11-28,57.180156657963444,59.92343594441247
2020-11-29,63.681592039801,59.95555050389021
2020-11-30,58.448753462603875,59.84766098433327
2020-12-01,59.195402298850574,59.54271141829996
2020-12-02,61.49253731343284,59.8031008458254
2020-12-03,60.049627791563275,60.196290916434826
2020-12-04,64.16464891041163,60.601816924946675
2020-12-05,60.75581395348837,61.11262511002167
2020-12-06,62.21590909090909,60.90324183160855
2020-12-07,63.559322033898304,61.63332305607918
2020-12-08,61.33333333333333,61.938741775291
2020-12-09,61.229946524064175,61.901228805381194
2020-12-10,59.63060686015831,61.841368672323334
2020-12-11,65.15151515151516,61.98234956390955
2020-12-12,68.90080428954424,63.14591961191753
2020-12-13,70.41095890410959,64.3166410138033
2020-12-14,58.35351089588377,63.572953708372665
2020-12-15,64.93506493506493,64.08748679433432
2020-12-16,61.904761904761905,64.18388899157686
2020-12-17,64.46469248291572,64.87447265197078
2020-12-18,68.04597701149426,65.28796720339638
2020-12-19,65.29126213592234,64.77231832430753
2020-12-20,63.86946386946387,63.83781903364386
2020-12-21,62.701612903225815,64.45897646326414
2020-12-22,59.877800407331975,63.736510102159436
2020-12-23,63.27800829875518,63.932688158444186
2020-12-24,60.824742268041234,63.41269527060497
2020-12-25,61.79775280898876,62.520091813104195
2020-12-26,62.014134275618375,62.051930690203626
2020-12-27,57.719298245614034,61.17333560108222
2020-12-28,61.460101867572156,60.995976881703136
2020-12-29,62.69430051813472,61.39833404038924
2020-12-30,59.7444089456869,60.89353413280806
2020-12-31,59.5679012345679,60.71398541374044
2021-01-01,57.72230889235569,60.13177913993571
2021-01-02,60.0,59.84404567199023
2021-01-03,57.99999999999999,59.8841459226168
2021-01-04,58.675496688741724,59.48634518278387
2021-01-05,57.87545787545788,58.797939090972896
2021-01-06,60.53268765133172,58.910550334636454
2021-01-07,60.270880361173816,59.01097592415158
2021-01-08,58.286358511837655,59.09155444122043
2021-01-09,55.79631635969664,58.49102820689138
2021-01-10,61.87563710499491,59.04469065046208
2021-01-11,60.139165009940356,59.25378612491903
2021-01-12,59.26605504587156,59.45244286354956
2021-01-13,57.22070844686649,58.97930297719738
2021-01-14,60.84949215143121,59.061961804377006
2021-01-15,60.19945602901179,59.3352614496876
2021-01-16,58.4192439862543,59.709965396338696
2021-01-17,59.89717223650386,59.427327557982835
2021-01-18,59.914529914529915,59.395236830067056
2021-01-19,61.09324758842444,59.65626433614604
2021-01-20,60.580204778157,60.13619238347326
2021-01-21,59.45229681978799,59.93659305038137
2021-01-22,59.78552278820375,59.87745973026593
2021-01-23,58.199052132701425,59.846003751186956
2021-01-24,62.752646775745916,60.253928685364386
2021-01-25,59.66386554621849,60.21811948989133
2021-01-26,60.06256517205423,60.07087914469559
2021-01-27,61.80555555555556,60.24592925575252
2021-01-28,60.74950690335306,60.4312449819761
2021-01-29,59.703075291622476,60.41946676817878
2021-01-30,62.093862815884485,60.97586829434779
2021-01-31,59.33250927070457,60.48727722219903
2021-02-01,59.97506234413965,60.531733907616335
2021-02-02,58.89328063241107,60.36469325909588
2021-02-03,56.70103092783505,59.63547545513581
2021-02-04,59.01386748844376,59.38752696729163
2021-02-05,61.03703703703703,59.57809293092227
2021-02-06,53.87149917627677,58.40346955383545
2021-02-07,56.58362989323843,58.01077249991171
2021-02-08,58.44155844155844,57.79170051382868
2021-02-09,60.22514071294559,57.981966239619325
2021-02-10,54.54545454545454,57.67402675642211
2021-02-11,56.385068762278976,57.298484081255715
2021-02-12,55.210643015521065,56.46614207818201
2021-02-13,56.41025641025641,56.828821683036246
2021-02-14,56.32183908045977,56.79142299549643
2021-02-15,58.605664488017425,56.81486671641915
2021-02-16,55.83756345177665,56.18806996482358
2021-02-17,54.285714285714285,56.15096421343212
2021-02-18,52.197802197802204,55.55278327564972
2021-02-19,47.3015873015873,54.422918173659184
2021-02-20,53.71621621621622,54.03805528879629
2021-02-21,55.43859649122807,53.91187777604891
2021-02-22,53.086419753086425,53.12341424248734
2021-02-23,50.59288537549407,52.37417451730412
2021-02-24,54.85232067510548,52.45511828721715
2021-02-25,55.90909090909091,52.985302388829815
2021-02-26,52.84974093264248,53.77789576469484
2021-02-27,49.23076923076923,53.1371176239167
2021-02-28,47.97979797979798,52.07157497942669
2021-03-01,50.0,51.630657871842914
