,India,European Union,United States
2020-03-01,,0.010285714285714285,
2020-03-02,,0.015142857142857142,
2020-03-03,,0.023428571428571427,
2020-03-04,,0.03171428571428571,
2020-03-05,,0.044571428571428574,
2020-03-06,,0.06057142857142857,0.005999999999999999
2020-03-07,,0.07342857142857143,0.006857142857142856
2020-03-08,,0.11842857142857142,0.008571428571428572
2020-03-09,,0.1495714285714286,0.006857142857142856
2020-03-10,,0.1997142857142857,0.009
2020-03-11,,0.26685714285714285,0.009428571428571429
2020-03-12,,0.31442857142857145,0.013285714285714286
2020-03-13,,0.416,0.015857142857142854
2020-03-14,,0.4852857142857143,0.01757142857142857
2020-03-15,,0.5918571428571429,0.020999999999999998
2020-03-16,,0.7074285714285714,0.032285714285714286
2020-03-17,0.0004285714285714286,0.8332857142857143,0.045714285714285714
2020-03-18,0.00028571428571428574,0.948857142857143,0.06942857142857142
2020-03-19,0.0004285714285714286,1.140857142857143,0.0962857142857143
2020-03-20,0.0004285714285714286,1.3854285714285715,0.13857142857142857
2020-03-21,0.00028571428571428574,1.734142857142857,0.18
2020-03-22,0.0005714285714285715,1.9842857142857142,0.23014285714285715
2020-03-23,0.0008571428571428572,2.299857142857143,0.29999999999999993
2020-03-24,0.0007142857142857143,2.6527142857142856,0.388
2020-03-25,0.0008571428571428572,3.1048571428571425,0.5071428571428571
2020-03-26,0.0015714285714285713,3.519428571428571,0.6555714285714285
2020-03-27,0.0014285714285714284,3.907285714285714,0.8338571428571429
2020-03-28,0.002,4.253714285714286,1.0798571428571428
2020-03-29,0.002,4.5934285714285705,1.2801428571428572
2020-03-30,0.002285714285714286,4.954714285714286,1.5054285714285716
2020-03-31,0.0025714285714285717,5.299571428571428,1.8684285714285715
2020-04-01,0.004857142857142858,5.777285714285715,2.2737142857142856
2020-04-02,0.005428571428571429,6.094714285714285,2.748
2020-04-03,0.005428571428571429,6.438714285714285,3.130857142857143
2020-04-04,0.0064285714285714285,6.576142857142856,3.5348571428571427
2020-04-05,0.0074285714285714285,6.580285714285714,3.983571428571428
2020-04-06,0.010714285714285716,6.67857142857143,4.426428571428572
