date,60 to 69,70 to 79,80+
2020-11-01,2.629271119323212,11.016692906994235,32.87705535200705
2020-11-02,1.5277048044215318,11.924566560131412,32.002203206956885
2020-11-03,1.8921072351970305,12.314203992436507,30.648902535114292
2020-11-04,2.2387030149904286,9.412694501207975,29.447559178703475
2020-11-05,2.572266466458426,10.180334003669717,30.71628934310065
2020-11-06,3.043402656282929,9.495610132505131,32.879031776190146
2020-11-07,2.746773518971125,11.875803660907865,29.847701863866043
2020-11-08,2.6060806867146495,11.166476531581035,31.165953127762286
2020-11-09,2.9656269641557156,12.328898694441683,34.700500460625655
2020-11-10,2.0694465835924576,9.98954102025998,28.099444755431453
2020-11-11,1.959899243977814,11.160709572159956,23.74415016629153
2020-11-12,2.0580119172223443,10.219074707027561,29.52371525383823
2020-11-13,2.4149983109682416,11.616471381526743,26.64425601661836
2020-11-14,1.5391525423607442,9.625969147496697,30.31184530963152
2020-11-15,2.203561178061936,13.056852155531434,27.704203013568414
2020-11-16,1.9164113876258888,10.402266010850237,27.013981175521433
2020-11-17,2.006799455918285,10.546052407365359,26.592626811618487
2020-11-18,2.22141373546345,10.049330133573504,32.81408812484344
2020-11-19,2.143154652463603,10.14941167740237,27.97425143077053
2020-11-20,2.0142523161596335,10.931180434170908,25.521227055400313
2020-11-21,2.0098838593805364,9.901756444288903,28.543081074138232
2020-11-22,2.4840771945205846,9.227951488906589,28.531660446225466
2020-11-23,2.1965769254425296,11.585792030863661,25.828475489793927
2020-11-24,2.812034724736657,9.793047234648899,27.04340248214374
2020-11-25,2.423398808369547,11.16736763723896,27.48610445635822
2020-11-26,2.4041032038038592,10.425219611466048,23.067658548634284
2020-11-27,2.077804522533356,9.589571964419045,24.24480159218854
2020-11-28,3.030983061524177,11.248799826504936,23.932694096221127
2020-11-29,2.58053082886932,9.279038135404182,28.129334614442453
2020-11-30,2.1751750945631034,11.261916693151415,23.31758757669289
2020-12-01,2.4467104276828127,11.03890808529741,22.807677611902864
2020-12-02,1.7998228048443612,11.563442069556318,23.123372433719
2020-12-03,3.489454500586365,11.87279008606082,27.694183169238123
2020-12-04,2.0683518092053035,13.510953802794226,30.42666919039492
2020-12-05,3.239072033166184,9.835630204044463,24.240174904230763
2020-12-06,3.4165060151160853,10.088925007799464,25.716106341886785
2020-12-07,2.173661653150824,12.171346905452689,26.457033042081648
2020-12-08,3.0877091501980107,12.878018174398592,27.183207041274866
2020-12-09,3.0761850292817523,13.004227645899444,27.104787827384897
2020-12-10,3.9580244913088336,14.324572262568868,27.052783935976066
2020-12-11,3.398836693496267,11.6757849231853,31.209444769793798
2020-12-12,2.337325577829896,11.869038837412717,31.23307020875663
2020-12-13,2.936524753845654,10.75898148620945,31.029267333801968
2020-12-14,3.916080463211155,16.765611249404458,29.02110952075227
2020-12-15,3.642183902338445,12.838897512001168,30.312244850542047
2020-12-16,2.873864008738585,13.985620804280947,26.171668146958364
2020-12-17,3.6233527543171737,15.083893146292858,33.331741649908295
2020-12-18,3.020418827252095,13.234338478415983,34.88752866586029
2020-12-19,3.806413966719705,13.236799838664904,31.183439870389044
2020-12-20,3.444501178963804,14.853657602131086,31.341907587309876
2020-12-21,3.4286811949177305,17.969961516155657,34.63045867339938
2020-12-22,4.157200810344031,17.75078136582537,31.93244906048149
2020-12-23,3.675120031178516,15.782471744118032,32.68501574477763
2020-12-24,3.6873680116707073,15.551923520182573,31.03635493375932
2020-12-25,3.906057149453229,16.217880099368664,34.307527688003205
2020-12-26,3.3666975884613204,15.875369456841609,35.584472205299825
2020-12-27,4.290660087314576,18.449159781129218,32.775942643574126
2020-12-28,2.658251475257029,17.029165466986527,35.34977468044095
