,under 65 cases,65 to 84 cases,over 85 cases
-20,23.88050441283678,34.28662725675028,41.14014251781472
-19,25.47191760636565,36.23582041859722,37.149643705463184
-18,27.03696235516744,35.99616552164883,36.19952494061758
-17,22.237905414837677,38.9998402300687,38.194774346793345
-16,25.04536923578043,28.119507908611602,26.935866983372918
-15,40.84472088225714,33.69547851094424,22.99287410926366
-14,40.41196817173613,51.14235500878734,50.5938242280285
-13,41.95374664577872,52.48442243169835,47.31591448931116
-12,41.19061283367716,48.7458060393034,40.427553444180525
-11,44.18730902266135,36.9547851094424,29.406175771971498
-10,29.962308634890107,19.97124141236619,16.76959619952494
-9,40.75786012315615,45.42259146828567,34.679334916864605
-8,59.27161049153883,51.941204665281994,39.66745843230404
-7,56.66113446355726,55.040741332481225,42.517814726840854
-6,52.18160102992043,97.4916120786068,88.12351543942994
-5,39.92027423182516,87.87346221441125,66.9833729216152
-4,17.164306432349427,67.9980827608244,50.5938242280285
-3,51.33781079865366,43.87282313468605,37.81472684085511
-2,59.43602549983713,73.57405336315705,62.13776722090262
-1,55.241891703246424,63.30084678063589,53.871733966745836
0,100.0,100.0,100.0
1,86.7320190473236,88.60840389838633,94.48931116389548
2,64.09858696157963,78.9423230548011,82.13776722090262
3,38.26991980890633,75.93864834638121,76.48456057007125
4,74.74833646135471,68.42946157533152,84.32304038004752
5,68.79527229296893,53.41108803323215,60.57007125890736
6,93.92750228785034,48.66592107365394,49.21615201900237
7,78.17158102092414,80.73174628534909,97.8147268408551
8,69.09773386483845,70.45853970282792,91.49643705463183
9,62.56456391245676,63.4925706981946,75.24940617577197
10,56.091886274448974,59.817862278319225,73.20665083135391
11,47.76100882567356,57.06981945997763,69.26365795724465
12,44.54716073893689,41.172711295734146,41.37767220902613
13,69.41725737153138,37.48202588272887,37.719714964370546
14,59.30883653115354,62.27831922032273,75.91448931116389
15,55.10539622465915,55.695798050806836,73.30166270783847
16,51.47585736222487,49.24109282633008,65.03562945368171
17,49.1973135208078,44.35213292858284,50.5938242280285
18,37.523847931628175,42.85029557437291,47.220902612826606
19,35.75250887996153,30.116632049848217,31.73396674584323
