date,20-24,30-34,40-44,50-54,60+
2021-04-28,72.0,30.9,13.7,23.0,3.2
2021-04-29,54.0,30.9,27.4,23.0,6.4
2021-04-30,54.0,30.9,27.4,23.0,9.6
2021-05-01,54.0,20.6,27.4,23.0,9.6
2021-05-02,45.0,10.3,27.4,11.5,9.6
2021-05-03,36.0,20.6,13.7,23.0,9.6
2021-05-04,45.0,30.9,54.8,23.0,12.8
2021-05-05,54.0,51.5,54.8,23.0,9.6
2021-05-06,72.0,82.4,41.1,23.0,6.4
2021-05-07,89.9,72.1,41.1,23.0,3.2
2021-05-08,80.9,72.1,54.8,23.0,6.4
