State,0
Andaman and Nicobar Islands,5.660377358490587
Andhra Pradesh,10.248160934082806
Arunachal Pradesh,28.19148936170217
Assam,20.811307745345896
Bihar,9.957186734092405
Chandigarh,8.659845270776167
Chhattisgarh,2.3878617826805337
Dadra and Nagar Haveli and Daman and Diu,5.8368495077355975
Delhi,2.813409131820843
Goa,6.442760062728703
Gujarat,6.256084439206844
Haryana,10.105274601822845
Himachal Pradesh,3.643809723826519
India,5.633025501362976
Jammu and Kashmir,6.877710320901986
Jharkhand,5.635559250571576
Karnataka,8.748292337383546
Kerala,14.761969652032402
Ladakh,-16.632722335369987
Lakshadweep,11.688311688311682
Madhya Pradesh,2.970458816251731
Maharashtra,0.6828796553732586
Manipur,15.598290598290587
Meghalaya,2.428256070640167
Mizoram,8.486238532110102
Nagaland,21.06918238993709
Odisha,10.309586222915357
Puducherry,5.532005086901237
Punjab,8.622314074704418
Rajasthan,10.058179543321867
Sikkim,9.513742071881627
Tamil Nadu,7.123943511287023
Telangana,6.171131750557546
Tripura,2.1531100478468845
Uttar Pradesh,4.393906988902341
Uttarakhand,8.89920058807312
West Bengal,9.319108389696806
European Union,
United States,
