date,20-24,30-34,40-44,50-54,60+
2021-01-01,658.4,595.2,465.1,398.6,295.6
2021-01-02,846.5,804.8,603.7,559.6,333.1
2021-01-03,1076.4,930.6,821.4,651.6,351.8
2021-01-04,1275.0,1115.0,930.2,743.6,397.6
2021-01-05,1431.7,1240.8,950.0,850.9,414.3
2021-01-06,1609.4,1265.9,979.7,873.9,426.8
2021-01-07,1745.2,1341.4,1039.1,912.2,449.7
2021-01-08,1891.5,1425.2,1187.5,1019.5,485.1
2021-01-09,1807.9,1307.8,1167.7,950.6,505.9
2021-01-10,1745.2,1190.5,999.5,1004.2,547.5
2021-01-11,1693.0,1232.4,1078.7,1042.5,603.7
2021-01-12,1557.1,1123.4,1177.6,1111.5,607.9
2021-01-13,1442.2,1064.7,1207.3,1142.2,595.4
2021-01-14,1295.9,1039.6,1217.2,1157.5,612.1
2021-01-15,1233.1,1064.7,1167.7,1134.5,597.5
2021-01-16,1243.6,1056.3,1167.7,1134.5,578.7
2021-01-17,1118.2,1106.6,1197.4,1080.9,560.0
2021-01-18,961.4,989.3,1058.9,973.6,526.7
2021-01-19,898.7,964.1,1009.4,873.9,510.0
2021-01-20,909.2,964.1,1009.4,873.9,512.1
2021-01-21,961.4,947.4,979.7,797.2,524.6
2021-01-22,898.7,905.4,1019.3,797.2,530.9
2021-01-23,815.1,821.6,969.8,751.2,526.7
2021-01-24,846.5,729.4,910.4,743.6,505.9
2021-01-25,898.7,695.8,940.1,820.2,468.4
2021-01-26,815.1,679.1,771.9,774.2,460.1
2021-01-27,700.2,687.5,672.9,697.6,435.1
2021-01-28,668.8,704.2,682.8,751.2,399.7
2021-01-29,658.4,695.8,574.0,720.6,401.8
2021-01-30,647.9,695.8,554.2,666.9,370.6
2021-01-31,627.0,695.8,534.4,620.9,374.7
2021-02-01,543.4,595.2,435.4,459.9,353.9
2021-02-02,543.4,511.4,494.8,429.3,368.5
2021-02-03,522.5,444.3,514.6,452.3,381.0
2021-02-04,459.8,419.2,475.0,398.6,378.9
2021-02-05,449.4,427.6,475.0,360.3,364.3
2021-02-06,397.1,394.0,435.4,375.6,370.6
2021-02-07,376.2,394.0,405.7,429.3,353.9
2021-02-08,355.3,402.4,395.8,459.9,337.3
2021-02-09,334.4,394.0,376.1,429.3,293.5
2021-02-10,355.3,394.0,376.1,391.0,264.4
2021-02-11,376.2,343.7,366.2,375.6,235.2
2021-02-12,334.4,318.6,366.2,360.3,222.8
2021-02-13,334.4,327.0,385.9,337.3,210.3
2021-02-14,313.5,318.6,376.1,260.6,206.1
2021-02-15,344.9,377.3,376.1,260.6,197.8
2021-02-16,334.4,435.9,346.4,245.3,172.8
2021-02-17,292.6,410.8,336.5,237.6,168.6
2021-02-18,261.3,486.3,316.7,207.0,164.5
2021-02-19,282.2,494.6,287.0,199.3,152.0
2021-02-20,303.1,486.3,267.2,207.0,139.5
2021-02-21,334.4,461.1,267.2,176.3,122.8
