,Andaman and Nicobar Islands,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Dadra and Nagar Haveli and Daman and Diu,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,India,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Lakshadweep,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
2020-03-13,,,,,,,,,0.30539840389937567,,,0.0,,0.062111603880364276,,,,0.7603159842818034,,,,,,,,,,,,0.017629569574957933,,,0.0,,0.030026800570983638,,
2020-03-14,,,,,,,,,0.30539840389937567,,,0.0,,0.07039315106441285,,,,0.7603159842818034,4.942760363609223,,,,,,,,,,,0.035259139149915866,,0.0,0.03629248672504309,,0.030026800570983638,,
2020-03-15,,,,,,,,,0.30539840389937567,,,0.0,,0.0755691180544432,,,,0.6402660920267819,4.942760363609223,,,,,,,,,,,0.035259139149915866,,0.0,0.07258497345008617,,0.030026800570983638,,
2020-03-16,,,,,,,,,0.22904880292453175,,,0.0,,0.08074508504447356,0.209986451674138,,0.12686630859271303,0.7202993535301295,4.942760363609223,,,0.42922957788399746,,,,,,,0.0,0.035259139149915866,,0.0,0.10887746017512925,,0.018016080342590186,,
2020-03-17,,,,,,,,,0.4580976058490635,,,0.050650133976695384,,0.08592105203450393,0.209986451674138,,0.14801069335816516,0.40016630751673865,29.656562181655342,,,0.41762877848172725,,,,,,,0.0,0.017629569574957933,,0.0,0.14516994690017235,,0.030026800570983638,,
2020-03-18,,,,,,,,,0.4580976058490635,,,0.15195040193008616,,0.10351933980060714,0.314979677511207,,0.21144384765452168,0.40016630751673865,24.713801818046118,,,0.3944271796771868,,,,,,,0.0,0.07051827829983173,,0.01835236608586328,0.435509840700517,,0.042037520799377094,,
2020-03-19,,0.0530048796212672,,,,,,,0.6107968077987513,,,0.15195040193008616,,0.12111762756671034,0.314979677511207,,0.21144384765452168,0.36014967676506476,24.713801818046118,,,0.3944271796771868,,,,,,,0.047395698549347054,0.1057774174497476,,0.03670473217172656,0.5443873008756462,,0.048042880913573824,,
2020-03-20,,0.0530048796212672,,,,,,,0.992544812672971,,,0.25325066988347694,,0.17080691067100176,0.209986451674138,,0.1902994628890695,0.7202993535301296,34.59932254526456,,,0.40602797907945704,,,,,,,0.09479139709869411,0.24681397404941108,,0.03670473217172656,0.6532647610507755,,0.066058961256164,,
2020-03-21,,0.1060097592425344,,,,,,,1.5269920194968785,,,0.3545509378368677,0.38340849577632413,0.24016486833740852,0.209986451674138,,0.2960213867163303,1.200498922550216,49.427603636092236,,,0.44083037728626767,,,,,,,0.5687483825921648,0.35259139149915864,,0.0917618304293164,0.6895572477758185,,0.09008040171295092,,
2020-03-22,,0.132512199053168,,,,,,,1.6033416204717224,,,0.3545509378368677,0.38340849577632413,0.30124127881976676,0.209986451674138,,0.42288769530904335,1.7207151223219765,49.427603636092236,,,0.48723357489534846,,,,,,,0.9479139709869412,0.4407392393739483,,0.14681892868690624,0.8710196814010339,,0.10209112194134438,0.2539488861332049,
2020-03-23,,0.1590146388638016,,,,,,,1.7560408224214101,,,0.7091018756737354,0.5751127436644862,0.38405675066025247,0.104993225837069,,0.5497540039017563,2.7211308911138232,49.427603636092236,,,0.58003997011351,,,,,0.030817178696042457,,1.0427053680856353,0.4936279480988221,,0.2018760269444961,1.0524821150262493,,0.1261125623981313,0.38092332919980737,
2020-03-24,,0.18551707867443518,,,,,,,1.5269920194968785,,,0.7597520096504308,0.5751127436644862,0.43995719415258033,0.314979677511207,,0.634331542963565,3.2813637216372578,24.713801818046118,,,0.7656527605498332,,,,,0.030817178696042457,0.0,1.3270795593817175,0.4936279480988221,,0.3119902234596758,1.2339445486514649,,0.12010720228393455,0.38092332919980737,0.11473397648984081
2020-03-25,,0.23852195829570239,,,,,,,1.832390423396254,,,0.7091018756737354,0.5751127436644862,0.5031039914309506,0.734952580859483,,0.7823422363217302,3.641513398402322,24.713801818046118,,,0.8932615539748054,,,,,0.030817178696042457,0.0,1.4218709564804117,0.5465166568236959,,0.44045678606071875,1.0161896283012062,,0.12611256239813126,0.5078977722664098,0.11473397648984081
2020-03-26,,0.21201951848506878,,,,7.3989023235142914,0.24265528908429695,,1.9087400243710981,,0.9393728893758945,0.7597520096504307,0.5751127436644862,0.55072288773923,1.04993225837069,,0.8457753906180867,4.361812751932452,24.713801818046118,,,0.8932615539748054,,,,,0.030817178696042457,0.0,1.469266655029759,0.5994053655485697,,0.47716151823244524,1.0524821150262496,,0.132117922512328,0.2539488861332049,0.12907572355107091
2020-03-27,,0.265024398106336,,,,3.6994511617571453,0.24265528908429695,,1.5269920194968785,,0.8946408470246613,0.7091018756737352,0.19170424788816204,0.6490662605498068,1.679891613393104,,1.0360748535071562,5.4422617822276464,14.828281090827673,,0.4184011101152142,1.17168073962929,,,,,0.030817178696042457,0.0,1.6588494492271475,0.5817757959736117,,0.6423328130052148,1.4516994690017235,,0.15013400285491815,0.2539488861332049,0.18644271179599128
2020-03-28,,0.37103415734887035,,,,3.6994511617571453,0.29118634690115636,,1.6796912214465662,,0.9170068682002779,0.7091018756737352,0.19170424788816204,0.7091074776341587,3.0448035492750014,,1.1840855468653213,5.202161997717603,2.0301221021717147e-15,,0.5857615541612998,1.3572935300656133,,,,,0.030817178696042457,0.0,1.1848924637336768,0.528887087248738,,0.6606851790910782,1.669454389351982,,0.2221983242252789,0.38092332919980737,0.2007844588572214
2020-03-29,,0.3975365971595039,,,0.14880961204599247,2.4663007745047634,0.29118634690115636,,3.3593824428931325,,1.006470952902744,0.7091018756737352,0.19170424788816204,0.7619023409324684,3.5697696784603465,,1.2052299316307735,5.402245151475973,2.0301221021717147e-15,,0.5522894653520828,1.4965031228928556,,,,,0.030817178696042457,0.0,0.8057268753389005,0.5288870872487379,,0.7524470095203946,1.5605769291768525,,0.2522251247962625,0.5078977722664098,0.20078445885722138
2020-03-30,,0.4240390369701375,,,0.13736271881168535,7.398902323514291,0.33971740471801576,,5.115423265314543,,0.8946408470246615,0.4052010718135629,0.0,0.8581753269470331,4.724695162668105,,1.1629411620998693,5.562311674482667,2.0301221021717147e-15,,0.6861778205889513,1.519704721697396,,,,,0.030817178696042457,0.0,0.8531225738882476,0.8285897700230228,,1.0093801347224807,1.5968694159018957,,0.3723323270801971,0.38092332919980737,0.21512620591845147
2020-03-31,,0.9540878331828094,,,0.20604407821752804,9.865203098019053,0.38824846253487516,,6.871464087735953,,0.8499088046734284,0.6584517416970398,0.0,1.10144577547846,5.144668066016381,,1.26866308592713,5.28219525922095,2.0301221021717147e-15,,0.9874266198719054,2.262155883442689,0.0,,,,0.061634357392084914,0.0,0.6161440811415123,1.0754037440724338,,1.9453508051015078,2.104964230052499,,0.4143698478795742,0.38092332919980737,0.40156891771444275
2020-04-01,,2.6767464208739935,,,0.22893786468614225,12.331503872523816,0.2911863469011564,,8.93290331405674,1.8011932905549926,1.0959350376052106,0.6078016077203444,0.0,1.4513411440045119,5.354654517690519,,1.2475187011616777,5.882444720496059,2.0301221021717147e-15,,1.3890916855825108,2.4709702726835525,0.0,,0.0,,0.09245153608812738,2.021264919714347,0.7109354782402064,1.4456247051465503,,3.8172921458595623,3.121153858353705,,0.4744234490215415,0.25394888613320493,0.40156891771444275
2020-04-02,30.82981530885309,3.6573366938674363,,,0.2518316511547564,13.5646542597762,0.14559317345057823,,19.392798647610356,1.8011932905549926,0.9841049317271279,0.8610522776038214,0.5751127436644862,1.8788760173810193,5.879620646875864,,1.4589625488161995,5.962477981999407,2.0301221021717147e-15,,1.4560358632009451,3.4570382218765197,0.46208980576748143,,0.0,,0.06163435739208493,4.042529839428694,0.6635397796908594,1.586661261746214,,5.138662504041719,3.9558810530296964,,0.5164609698209186,0.6348722153330123,0.6166951236328942
2020-04-03,13.70214013726804,4.001868411405673,,,0.2518316511547564,12.331503872523816,0.14559317345057823,,26.416961937295998,2.701789935832489,1.0735690164295941,1.2662533494173847,0.5751127436644862,2.3001997303694908,5.774627421038795,,1.3532406249889386,4.761979059449191,4.942760363609225,,2.092005550576071,3.8746670003582473,0.46208980576748143,,0.0,,0.5238920378327218,4.042529839428694,0.7109354782402064,2.2742144751695736,,6.845432550027004,6.169722743257325,,0.7506700142745909,1.396718873732627,0.5449863883267437
2020-04-04,3.42553503431701,4.584922087239613,,,0.24038475792044936,12.331503872523816,0.1455931734505782,,30.234441986038195,3.602386581109985,1.1853991223076767,2.481856564858074,1.9170424788816207,2.7587904056861805,6.19460032438707,,1.4378181640507475,4.96206221320756,4.942760363609225,,2.3430462166451993,5.266762928630671,0.46208980576748143,,0.0,,0.5547092165287643,4.042529839428694,1.279683860832371,2.6796945753936057,,8.130098176037434,7.439959778633834,,1.0149058592992468,2.0315910890656395,0.5019611471430535
2020-04-05,3.42553503431701,6.228073355498895,,,0.1945971849832209,12.331503872523816,0.1455931734505782,,32.906678020157734,1.8011932905549926,1.4537913764150752,2.785757368718247,2.1087467267697826,3.2649999773111493,7.139539356920692,,1.4378181640507475,4.481862644187474,4.942760363609225,,2.5773508383097194,6.310834874834989,0.46208980576748143,,0.0,,1.1094184330575285,4.042529839428694,1.4218709564804122,3.6493209020162922,,9.56158273073477,9.581216495411377,,1.2371041835245258,2.4125144182654465,0.846163076612576
2020-04-06,0.0,7.4206831469774075,,,0.1945971849832209,6.165751936261908,0.09706211563371882,,32.677629217233196,1.8011932905549926,1.6998176093468569,3.7481099142754593,2.875563718322431,3.5724524165189524,6.29959355022414,,1.5858288574089126,3.7215466599056697,4.942760363609225,,3.497833280563191,7.51731801267109,0.46208980576748143,,0.0,,1.1402356117535708,4.042529839428694,1.8010365448751886,3.9137644456406613,,10.167210811568259,10.415943690087369,,1.2551202638671162,3.047386633598459,0.8318213295513459
