date,Under 20 cases,20 to 65 cases,65 and over cases
2020-09-01,2.118049572944101,2.281949368491026,1.4718991194695075
2020-09-02,2.342038545794668,2.665909594504764,1.878465050548973
2020-09-03,2.4848007482708545,3.0471000443164193,2.167626915969127
2020-09-04,2.6337164939572206,3.378088300465323,2.463311229481466
2020-09-05,2.8207842075467053,3.6879570130733437,2.682900315251658
2020-09-06,2.989391291505649,3.981553290494128,2.9046635503859117
2020-09-07,3.407832229797917,4.520620983824507,3.530818567235569
2020-09-08,3.669973170551603,4.786519499224464,3.7504076530057615
2020-09-09,3.7856597829029957,4.847108353645026,3.6851831720839225
2020-09-10,4.042877889088537,4.90908209616663,3.7438852049135782
2020-09-11,4.215177098973589,4.94751274097053,3.783019893466682
2020-09-12,4.263174736012996,4.942665632616885,3.7851940428307427
2020-09-13,4.280404657001501,4.809370152891646,3.8330253288400917
2020-09-14,4.136411745883279,4.680229337469532,3.654745080987064
2020-09-15,4.174563713786398,4.663610680257035,3.73084030872921
2020-09-16,4.31855662490462,4.893502105029914,3.9547776932275243
2020-09-17,4.451473158244516,5.134818856636384,4.0243504728774875
2020-09-18,4.734536145912816,5.524318635054288,4.102619849983694
2020-09-19,5.246510940999827,6.0055672501661865,4.365691923035112
2020-09-20,5.864326679301941,6.776949922446267,4.6874660289161865
2020-09-21,6.344303049696015,7.218383004653226,4.907055114686379
2020-09-22,6.857508553425062,7.797612452913806,5.333188390042396
2020-09-23,7.563935313953775,8.260165078661645,5.672355690835961
2020-09-24,8.202673099170502,8.808926988699314,6.109359713012284
2020-09-25,8.800797499200039,9.17315255927321,6.546363735188608
2020-09-26,9.46045733133138,9.443898183026812,6.855092944885315
2020-09-27,10.385950230142518,9.650592732107247,6.989890205457115
2020-09-28,11.889876190710611,10.470792709949036,7.6660506576801835
2020-09-29,13.610406872277055,11.056600376689564,8.218284596151756
2020-09-30,16.055824944002755,11.918000775537337,8.700945754973366
2020-10-01,18.628006005858172,12.813330932860625,9.429285791933905
2020-10-02,21.068501243015728,13.912932085087526,10.244591803456897
2020-10-03,22.58227287272011,14.781603146465766,10.970757691053375
2020-10-04,23.847441356733206,15.64438843341458,11.64039569518426
2020-10-05,25.522435818544313,16.891133946377135,12.712251331666488
2020-10-06,26.83437123095478,18.32172335475294,13.618871616480051
2020-10-07,27.5444901174096,19.53938621759362,14.903793890640287
2020-10-08,28.097078297683808,20.631716707290053,15.777801934992935
2020-10-09,27.8410909001403,21.099116441391537,16.510490270681597
2020-10-10,27.546951534693676,21.311004320850877,16.749646700728345
2020-10-11,26.887291702562333,21.366746066917795,17.17795412544842
2020-10-12,26.60545942353607,22.04811101263018,18.112838351994785
2020-10-13,26.194402737096016,22.425839242189234,18.934666811609958
