date,cases
2021-02-18,3059
2021-02-19,3048
2021-02-20,2803
2021-02-21,2734
2021-02-22,2737
2021-02-23,2490
2021-02-24,2503
2021-02-25,2371
2021-02-26,2253
2021-02-27,2102
2021-02-28,1828
2021-03-01,2018
2021-03-02,1932
2021-03-03,1861
2021-03-04,1821
2021-03-05,1723
2021-03-06,1618
2021-03-07,1562
2021-03-08,1551
