,United Kingdom,Sweden
2020-03-12,0.019,
2020-03-13,0.019,
2020-03-14,0.05685714285714286,
2020-03-15,0.0862857142857143,
2020-03-16,0.1325714285714286,0.11314285714285714
2020-03-17,0.15985714285714286,0.18385714285714289
2020-03-18,0.23357142857142857,0.28285714285714286
2020-03-19,0.32628571428571423,0.39599999999999996
2020-03-20,0.3914285714285714,0.495
2020-03-21,0.4734285714285714,0.6222857142857142
2020-03-22,0.5177142857142857,0.7495714285714286
2020-03-23,0.6292857142857142,1.0324285714285715
2020-03-24,0.9049999999999999,1.258714285714286
2020-03-25,1.233285714285714,1.5982857142857145
2020-03-26,1.5194285714285714,1.9237142857142862
2020-03-27,2.0581428571428573,2.3057142857142856
2020-03-28,2.5505714285714283,2.6877142857142857
2020-03-29,2.925142857142857,3.168714285714286
2020-03-30,3.552142857142857,3.5507142857142857
2020-03-31,4.090857142857143,3.9892857142857143
2020-04-01,5.105142857142857,4.540857142857143
2020-04-02,6.1047142857142855,5.219714285714287
2020-04-03,7.049571428571428,5.714714285714286
2020-04-04,8.028142857142857,1.8954285714285717
2020-04-05,8.84457142857143,1.6548571428571432
2020-04-06,9.257,2.050857142857143
2020-04-07,10.732142857142858,2.9137142857142857
2020-04-08,11.487571428571428,3.2815714285714286
2020-04-09,12.455571428571428,3.6494285714285715
2020-04-10,13.267857142857142,3.7484285714285717
2020-04-11,13.450999999999999,7.2705714285714285
2020-04-12,13.568857142857143,7.0442857142857145
2020-04-13,13.895142857142858,6.252142857142857
2020-04-14,13.84257142857143,6.252142857142857
2020-04-15,13.531142857142859,7.298857142857143
2020-04-16,13.369142857142858,7.638285714285715
2020-04-17,12.929428571428572,7.496857142857143
2020-04-18,13.484857142857143,8.826571428571429
2020-04-19,13.013428571428573,9.066999999999998
2020-04-20,12.699857142857143,9.349999999999998
2020-04-21,13.002857142857142,10.354285714285712
2020-04-22,12.945999999999998,10.382571428571428
2020-04-23,12.19685714285714,9.731857142857143
2020-04-24,12.415714285714284,10.637142857142859
2020-04-25,11.801285714285711,9.632857142857144
2020-04-26,11.656142857142854,9.251000000000001
2020-04-27,11.123714285714282,9.816714285714287
2020-04-28,10.591285714285709,8.34557142857143
2020-04-29,10.41028571428571,7.4261428571428585
2020-04-30,10.309285714285709,7.992000000000002
2020-05-01,9.639999999999997,7.0867142857142875
2020-05-02,9.15385714285714,6.74714285714286
2020-05-03,8.920285714285713,6.860285714285717
2020-05-04,8.814999999999996,7.001857142857146
2020-05-05,8.297428571428568,7.058428571428574
2020-05-06,8.036571428571426,6.7754285714285745
2020-05-07,7.661999999999998,6.421857142857145
2020-05-08,7.409571428571426,7.383714285714289
2020-05-09,6.757285714285713,7.794000000000003
2020-05-10,6.681571428571428,7.7232857142857165
2020-05-11,6.502714285714284,6.888714285714288
2020-05-12,6.271142857142856,6.492714285714287
2020-05-13,5.8522857142857125,7.34157142857143
2020-05-14,5.6312857142857125,6.917142857142859
2020-05-15,5.149285714285712,6.6625714285714315
2020-05-16,5.435428571428569,6.422000000000002
2020-05-17,5.119714285714283,6.422000000000002
2020-05-18,5.03142857142857,6.252142857142859
2020-05-19,4.791571428571428,6.082428571428574
2020-05-20,4.541142857142857,5.247857142857145
2020-05-21,4.372714285714285,4.837714285714289
2020-05-22,4.246571428571428,3.9465714285714313
2020-05-23,3.8447142857142858,4.498285714285717
2020-05-24,4.501285714285715,4.512428571428575
2020-05-25,4.412857142857144,4.682285714285717
2020-05-26,3.6342857142857157,5.403714285714288
2020-05-27,3.8300000000000014,5.502714285714289
2020-05-28,3.9774285714285726,5.587571428571431
2020-05-29,3.94157142857143,6.011857142857146
2020-05-30,3.8027142857142877,5.700714285714289
