date,England,London,Kent and Medway
2020-12-29,17.0,26.6,22.1660915529555
2020-12-30,18.1,27.7,23.601015531660693
2020-12-31,18.3,27.8,23.664050819957122
2021-01-01,18.3,27.5,23.632043085962092
2021-01-02,18.1,26.5,23.10248580020047
2021-01-03,18.1,26.3,22.71009402140713
2021-01-04,18.2,26.2,22.52980860594543
2021-01-05,17.8,25.8,21.63740458015267
2021-01-06,17.4,25.7,20.58306523624034
2021-01-07,16.8,25.1,19.790729502577253
2021-01-08,16.2,24.3,18.831568982451156
2021-01-09,15.7,23.9,17.925034720125595
2021-01-10,15.2,23.1,17.237864618814637
2021-01-11,14.8,22.5,16.46443771749395
2021-01-12,14.5,21.8,15.831185411959733
2021-01-13,14.4,21.4,15.665096872001
2021-01-14,14.3,21.2,15.548544937640186
2021-01-15,14.2,21.1,15.418635281748754
2021-01-16,14.1,20.9,15.277113247221388
2021-01-17,14.0,20.7,15.318175961715442
2021-01-18,14.0,20.5,15.392877052217763
2021-01-19,13.9,20.2,15.51462641761174
2021-01-20,13.6,19.7,15.018568416722374
2021-01-21,13.3,18.9,14.576953206966497
2021-01-22,12.9,18.3,14.112877413848288
2021-01-23,12.6,17.8,13.951019379007274
2021-01-24,12.2,17.3,13.406670951156812
2021-01-25,11.9,16.6,12.757353695367257
2021-01-26,11.4,15.9,12.085403470118425
2021-01-27,11.0,15.3,11.450131947221111
2021-01-28,10.5,14.0,10.843403126632642
2021-01-29,10.1,13.1,9.969633401635186
2021-01-30,9.8,12.6,9.300128471797382
2021-01-31,9.7,12.2,8.915869823942216
2021-02-01,9.4,11.7,8.332520854783468
2021-02-02,8.9,11.2,7.230548921303514
2021-02-03,8.5,10.5,6.483291574735425
2021-02-04,8.2,10.3,5.751590284805552
2021-02-05,7.8,9.7,5.403385576541114
2021-02-06,7.4,9.2,5.091045823363259
2021-02-07,7.2,8.7,4.845225218685347
2021-02-08,6.9,8.2,4.621865619513301
2021-02-09,6.6,7.8,4.517199211045365
2021-02-10,6.3,7.3,4.558022018097692
2021-02-11,6.0,6.9,4.555628155628155
2021-02-12,5.8,6.6,4.371736945268131
2021-02-13,5.6,6.2,4.145902389425521
2021-02-14,5.5,6.0,3.9452314556609034
2021-02-15,5.4,5.8,3.855583577120953
2021-02-16,5.4,5.5,3.6419293147554828
2021-02-17,5.3,5.2,3.416408278317632
2021-02-18,5.2,5.0,3.3044612856547224
2021-02-19,5.0,4.8,3.0897915644923986
2021-02-20,5.0,4.7,3.1154698700853865
2021-02-21,4.9,4.5,3.028607384600347
2021-02-22,4.8,4.2,3.0571053023163532
2021-02-23,4.6,4.1,2.8569924358555525
2021-02-24,4.4,3.8,2.879645393643278
2021-02-25,4.2,3.6,2.680062926866703
2021-02-26,4.0,3.3,2.482656527249683
2021-02-27,3.8,3.1,2.383220162254266
2021-02-28,3.6,2.9,2.3448435659788007
2021-03-01,3.4,2.6,2.267143492246136
2021-03-02,3.1,2.4,2.1544316723835464
2021-03-03,2.9,2.3,2.040958111909972
2021-03-04,2.8,2.2,1.9409648850217522
2021-03-05,2.7,2.1,1.827565906684913
2021-03-06,2.6,2.0,1.8138755122950823
2021-03-07,2.5,1.9,1.641321552055321
2021-03-08,2.5,1.9,1.5687041564792177
2021-03-09,2.5,1.8,1.468366980938717
2021-03-10,2.5,1.8,1.3687456526779505
2021-03-11,2.4,1.7,1.3689330165780098
2021-03-12,2.4,1.7,1.2829505843756408
2021-03-13,2.4,1.7,1.2692917574345204
2021-03-14,2.4,1.7,1.2554011879593274
2021-03-15,2.3,1.7,1.2549253731343282
2021-03-16,2.2,1.6,1.2274093289608927
2021-03-17,2.2,1.6,1.1274702943075048
2021-03-18,2.1,1.5,1.1135507331378298
2021-03-19,2.1,1.5,1.1
2021-03-20,2.0,1.5,1.126907950076159
2021-03-21,2.0,1.5,1.126692109103154
2021-03-22,2.0,1.5,1.1266475900921042
2021-03-23,2.0,1.4,1.140440997229917
2021-03-24,2.0,1.4,1.140310743801653
2021-03-25,2.0,1.4,1.1543172075933865
2021-03-26,2.0,1.4,1.1409085018144118
2021-03-27,2.0,1.4,1.127242481852748
2021-03-28,1.9,1.4,1.1274280497348057
2021-03-29,1.9,1.4,1.113757736911492
2021-03-30,1.8,1.4,1.0
2021-03-31,1.7,1.3,0.9138152703643537
2021-04-01,1.7,1.3,0.8864513699275023
2021-04-02,1.6,1.3,0.8865506683593458
2021-04-03,1.6,1.3,0.7865648394714363
2021-04-04,1.6,1.2,0.8
2021-04-05,1.6,1.2,0.7720688589963213
2021-04-06,1.5,1.2,0.6856413974596525
2021-04-07,1.4,1.2,0.6723950776505991
2021-04-08,1.4,1.1,0.6
2021-04-09,1.3,1.1,0.6
2021-04-10,1.3,1.1,0.6
2021-04-11,1.2,1.1,0.5141408659183422
2021-04-12,1.2,1.1,0.5136126281498515
2021-04-13,1.2,1.1,0.5265569352199442
2021-04-14,1.1,1.0,0.5134931192105836
2021-04-15,1.0,0.9,0.513368295821497
2021-04-16,1.0,0.8,0.426438111770095
2021-04-17,0.9,0.8,0.42650363675905567
2021-04-18,0.9,0.7,0.41315650250096186
2021-04-19,0.9,0.7,0.41313308221971645
2021-04-20,0.8,0.7,0.4
2021-04-21,0.8,0.7,0.4
2021-04-22,0.8,0.7,0.4
2021-04-23,0.8,0.7,0.48663898552351026
2021-04-24,0.8,0.7,0.47326464449082917
2021-04-25,0.8,0.7,0.3867147339608786
2021-04-26,0.8,0.7,0.4733775611517286
2021-04-27,0.8,0.7,0.3867201892242262
2021-04-28,0.8,0.7,0.3867319378798109
2021-04-29,0.7,0.7,0.3738388411045722
2021-04-30,0.8,0.7,0.3741555994669363
2021-05-01,0.8,0.7,0.3743635777747089
2021-05-02,0.7,0.7,0.38714550080962296
2021-05-03,0.8,0.7,0.38690391819378356
2021-05-04,0.8,0.7,0.38683652851017697
2021-05-05,0.8,0.7,0.4
