,India,European Union,United States
2020-03-01,0.0,0.6177142857142858,0.006857142857142858
2020-03-02,0.00014285714285714287,0.7525714285714287,0.016714285714285716
2020-03-03,0.00014285714285714287,0.9134285714285716,0.02485714285714286
2020-03-04,0.0025714285714285717,1.142,0.039142857142857146
2020-03-05,0.0027142857142857147,1.483,0.072
2020-03-06,0.0028571428571428576,1.8895714285714287,0.09485714285714286
2020-03-07,0.003142857142857144,2.4200000000000004,0.16314285714285712
2020-03-08,0.003714285714285715,2.952428571428572,0.21014285714285716
2020-03-09,0.004000000000000001,3.7311428571428573,0.2327142857142857
2020-03-10,0.005285714285714287,4.425857142857143,0.3057142857142857
2020-03-11,0.0034285714285714297,5.6408571428571435,0.449
2020-03-12,0.004428571428571429,6.271428571428572,0.6051428571428572
2020-03-13,0.005285714285714287,9.039857142857143,0.8554285714285715
2020-03-14,0.007,10.777285714285714,1.1112857142857144
2020-03-15,0.007571428571428572,12.381,1.1622857142857144
2020-03-16,0.007714285714285715,14.71142857142857,1.7630000000000001
2020-03-17,0.008857142857142859,17.03385714285714,2.473
2020-03-18,0.009714285714285715,19.543857142857142,3.462142857142857
2020-03-19,0.01257142857142857,23.89785714285714,5.212285714285714
2020-03-20,0.016714285714285713,26.247857142857146,7.686999999999999
2020-03-21,0.02357142857142857,29.878000000000004,9.94685714285714
2020-03-22,0.02928571428571428,33.08571428571429,13.675285714285712
2020-03-23,0.039428571428571424,36.96628571428572,17.892285714285713
2020-03-24,0.040857142857142856,40.287571428571425,21.684142857142856
2020-03-25,0.052,44.80142857142857,25.75185714285714
2020-03-26,0.055285714285714285,49.389428571428574,31.51871428571428
2020-03-27,0.06671428571428571,53.599428571428575,36.83728571428571
2020-03-28,0.06814285714285713,57.819857142857146,42.721999999999994
2020-03-29,0.06514285714285713,60.37600000000001,47.049142857142854
2020-03-30,0.07785714285714285,61.68957142857143,51.72628571428571
2020-03-31,0.08914285714285712,64.92200000000001,58.50014285714285
2020-04-01,0.13885714285714285,65.95614285714286,67.20828571428571
2020-04-02,0.188,65.07314285714287,73.41285714285713
2020-04-03,0.17385714285714288,64.95828571428572,79.28457142857143
2020-04-04,0.21685714285714286,56.64700000000001,84.79157142857143
2020-04-05,0.26542857142857146,55.120571428571445,89.52957142857144
2020-04-06,0.36514285714285716,52.976428571428585,93.55114285714286
2020-04-07,0.4051428571428572,48.19742857142859,95.47385714285714
2020-04-08,0.4054285714285714,46.94742857142859,95.02328571428572
2020-04-09,0.4327142857142857,45.82585714285716,96.62185714285715
2020-04-10,0.5207142857142857,43.57142857142859,97.53642857142859
2020-04-11,0.5551428571428572,48.11185714285716,96.11742857142859
2020-04-12,0.5812857142857143,63.24457142857144,94.98671428571431
2020-04-13,0.5872857142857143,62.29514285714287,93.06485714285716
2020-04-14,0.639142857142857,66.5427142857143,92.22585714285718
2020-04-15,0.6629999999999999,65.11714285714288,89.71885714285717
2020-04-16,0.6939999999999998,67.73200000000003,87.16342857142861
2020-04-17,0.6989999999999998,66.99000000000002,86.56614285714288
2020-04-18,0.753142857142857,65.63057142857146,86.06114285714287
2020-04-19,0.8705714285714284,49.80114285714289,85.56000000000002
2020-04-20,0.8371428571428571,48.60185714285717,86.80642857142858
2020-04-21,0.8897142857142857,44.361000000000026,85.55128571428574
2020-04-22,0.9368571428571428,42.9154285714286,87.04157142857146
2020-04-23,0.9988571428571429,36.66200000000003,88.57585714285717
2020-04-24,1.0538571428571428,31.0224285714286,88.27242857142859
2020-04-25,1.0934285714285714,30.036571428571456,89.33585714285718
2020-04-26,1.0637142857142856,27.403000000000027,89.51071428571433
2020-04-27,1.1295714285714287,26.90857142857146,86.86728571428576
2020-04-28,1.1638571428571427,25.425142857142884,86.28900000000003
2020-04-29,1.210142857142857,22.610857142857174,85.24400000000003
2020-04-30,1.2198571428571425,21.116571428571458,83.36657142857146
2020-05-01,1.3172857142857137,22.778285714285744,84.48828571428575
2020-05-02,1.3887142857142851,20.984714285714315,83.17371428571433
2020-05-03,1.5128571428571422,19.603714285714315,82.22242857142861
2020-05-04,1.7582857142857138,17.67200000000003,82.38728571428575
2020-05-05,1.8711428571428568,16.477571428571455,82.3674285714286
2020-05-06,2.0625714285714283,17.355428571428597,81.55700000000003
2020-05-07,2.224428571428571,17.169428571428597,80.77628571428575
2020-05-08,2.322714285714286,16.944857142857167,77.28600000000004
2020-05-09,2.3921428571428573,16.519857142857166,76.33042857142861
2020-05-10,2.552285714285714,16.17014285714288,73.98700000000005
2020-05-11,2.5187142857142857,16.638000000000023,71.90928571428576
2020-05-12,2.5768571428571434,16.281857142857167,71.2261428571429
2020-05-13,2.5951428571428576,14.507571428571453,69.4341428571429
2020-05-14,2.6550000000000007,13.699428571428596,69.17828571428575
2020-05-15,2.7008571428571435,12.90871428571431,68.2754285714286
2020-05-16,2.8821428571428576,12.457571428571454,67.85371428571433
2020-05-17,2.9542857142857146,11.934571428571454,67.6361428571429
2020-05-18,3.0601428571428575,10.98085714285717,68.98228571428577
2020-05-19,3.3315714285714293,10.65785714285717,68.14457142857148
2020-05-20,3.516857142857144,10.507285714285741,69.13242857142862
2020-05-21,3.7502857142857153,10.035000000000027,68.67828571428576
2020-05-22,4.038142857142858,10.303714285714316,68.20785714285718
2020-05-23,4.2208571428571435,10.141571428571456,66.89242857142861
2020-05-24,4.434428571428572,9.971714285714315,67.6278571428572
2020-05-25,4.619142857142859,9.482714285714318,66.02357142857147
2020-05-26,4.587714285714287,9.177428571428603,65.43785714285718
2020-05-27,4.767857142857145,8.69600000000003,63.64771428571432
