,TfL tube,TfL bus,Bus excl London,Cycling
2020-03-01,,,,
2020-03-02,,,,
2020-03-03,,,,
2020-03-04,,,,
2020-03-05,,,,
2020-03-06,,,,
2020-03-07,94.85714285714285,96.14285714285714,,
2020-03-08,92.42857142857143,95.14285714285714,,
2020-03-09,91.71428571428571,94.85714285714286,,
2020-03-10,90.85714285714285,95.0,,
2020-03-11,89.57142857142857,94.42857142857143,,
2020-03-12,88.0,94.42857142857143,,
2020-03-13,85.14285714285714,93.14285714285715,,
2020-03-14,80.85714285714286,91.71428571428572,,105.71428571428572
2020-03-15,76.14285714285714,88.71428571428572,94.85714285714283,106.28571428571429
2020-03-16,71.85714285714285,86.42857142857144,92.85714285714283,106.14285714285717
2020-03-17,65.42857142857143,82.57142857142858,89.28571428571426,105.42857142857144
2020-03-18,58.14285714285713,78.5714285714286,84.14285714285712,101.85714285714286
2020-03-19,50.85714285714285,73.85714285714288,78.4285714285714,97.71428571428572
2020-03-20,43.999999999999986,68.85714285714288,72.57142857142854,95.28571428571429
2020-03-21,37.14285714285713,62.57142857142858,66.14285714285712,94.0
2020-03-22,30.99999999999999,56.571428571428584,58.999999999999986,98.71428571428572
2020-03-23,24.571428571428555,49.71428571428572,50.28571428571426,96.14285714285715
2020-03-24,19.571428571428555,42.85714285714287,41.714285714285694,97.28571428571429
2020-03-25,15.571428571428555,36.2857142857143,34.85714285714284,102.28571428571429
2020-03-26,12.142857142857128,30.428571428571445,28.42857142857141,108.14285714285714
2020-03-27,9.571428571428557,25.57142857142859,22.857142857142836,111.57142857142858
2020-03-28,8.285714285714272,22.428571428571445,18.857142857142836,112.57142857142858
2020-03-29,7.285714285714273,20.142857142857157,15.714285714285689,106.42857142857144
2020-03-30,5.999999999999988,18.142857142857157,13.571428571428548,104.42857142857144
2020-03-31,5.428571428571416,17.42857142857144,12.857142857142836,106.00000000000003
2020-04-01,5.14285714285713,17.00000000000001,12.428571428571408,103.57142857142858
2020-04-02,4.999999999999987,16.714285714285726,12.142857142857121,100.42857142857144
2020-04-03,4.857142857142844,16.42857142857144,11.857142857142835,101.2857142857143
2020-04-04,4.857142857142844,16.42857142857144,11.71428571428569,112.00000000000003
2020-04-05,4.857142857142844,16.571428571428584,11.571428571428548,132.2857142857143
2020-04-06,4.714285714285701,16.714285714285726,11.428571428571406,137.00000000000003
2020-04-07,4.714285714285701,16.85714285714287,11.285714285714263,142.85714285714286
2020-04-08,4.714285714285701,17.00000000000001,11.14285714285712,149.14285714285717
2020-04-09,4.714285714285701,17.2857142857143,11.285714285714263,157.42857142857144
2020-04-10,4.571428571428558,17.42857142857144,11.285714285714263,167.00000000000003
2020-04-11,4.571428571428558,17.2857142857143,11.14285714285712,179.57142857142858
2020-04-12,4.571428571428558,16.857142857142872,10.857142857142833,182.85714285714286
2020-04-13,4.571428571428558,16.857142857142872,10.999999999999977,185.14285714285717
2020-04-14,4.571428571428558,17.000000000000014,11.14285714285712,184.71428571428572
2020-04-15,4.571428571428558,17.142857142857157,11.14285714285712,190.28571428571425
2020-04-16,4.571428571428558,17.142857142857157,10.999999999999977,195.28571428571425
2020-04-17,4.714285714285701,17.285714285714302,10.857142857142833,184.1428571428571
2020-04-18,4.714285714285701,17.285714285714302,10.999999999999977,163.4285714285714
2020-04-19,4.714285714285701,,11.428571428571406,173.85714285714283
2020-04-20,4.714285714285701,,11.428571428571406,176.4285714285714
2020-04-21,4.714285714285701,,11.285714285714263,178.7142857142857
2020-04-22,4.714285714285701,,11.428571428571406,179.7142857142857
2020-04-23,4.714285714285701,,11.428571428571406,182.1428571428571
2020-04-24,4.714285714285701,,11.571428571428548,194.57142857142856
2020-04-25,4.714285714285701,,11.71428571428569,215.85714285714283
2020-04-26,4.571428571428559,,11.71428571428569,218.7142857142857
2020-04-27,4.571428571428559,,11.71428571428569,221.42857142857144
2020-04-28,4.571428571428559,,11.71428571428569,206.99999999999997
2020-04-29,4.571428571428559,,11.71428571428569,194.28571428571428
2020-04-30,4.571428571428559,,11.71428571428569,176.71428571428572
2020-05-01,4.571428571428559,,11.71428571428569,167.42857142857147
2020-05-02,4.571428571428559,,11.71428571428569,169.71428571428575
2020-05-03,4.714285714285701,,11.71428571428569,157.71428571428575
2020-05-04,4.857142857142844,,11.71428571428569,157.28571428571433
2020-05-05,4.999999999999987,,11.857142857142835,169.00000000000006
2020-05-06,4.999999999999987,,11.999999999999977,185.42857142857147
2020-05-07,4.999999999999987,,12.285714285714263,203.71428571428578
2020-05-08,5.285714285714273,,,220.00000000000003
2020-05-09,5.428571428571416,,,230.85714285714292
2020-05-10,5.428571428571416,,,215.5714285714286
2020-05-11,5.428571428571416,,,207.71428571428575
2020-05-12,5.428571428571416,,,209.5714285714286
2020-05-13,5.571428571428559,,,198.8571428571429
2020-05-14,5.714285714285702,,,196.71428571428575
2020-05-15,5.571428571428559,,12.714285714285692,187.71428571428578
2020-05-16,5.571428571428559,,12.714285714285692,178.00000000000006
2020-05-17,5.857142857142845,,12.999999999999979,201.00000000000006
2020-05-18,6.142857142857131,,13.285714285714265,210.1428571428572
2020-05-19,6.285714285714274,,13.428571428571406,213.57142857142867
2020-05-20,6.4285714285714155,,13.571428571428552,224.85714285714295
2020-05-21,6.571428571428559,,13.571428571428552,226.85714285714292
2020-05-22,6.857142857142845,,13.714285714285692,219.28571428571436
2020-05-23,6.9999999999999885,,13.857142857142838,197.1428571428572
2020-05-24,6.9999999999999885,,13.999999999999979,190.28571428571433
2020-05-25,7.142857142857132,,14.714285714285694,207.28571428571433
2020-05-26,7.428571428571416,,14.857142857142833,207.00000000000009
2020-05-27,7.57142857142856,,14.999999999999977,206.14285714285722
2020-05-28,7.857142857142844,,15.142857142857125,207.71428571428578
2020-05-29,7.999999999999988,,15.285714285714263,218.57142857142864
2020-05-30,8.285714285714274,,15.57142857142855,241.57142857142864
2020-05-31,8.714285714285703,,15.999999999999979,249.85714285714295
2020-06-01,8.857142857142845,,15.714285714285694,235.57142857142873
2020-06-02,8.99999999999999,,16.14285714285712,238.0000000000001
2020-06-03,9.285714285714274,,16.42857142857141,222.857142857143
2020-06-04,9.428571428571418,,16.857142857142833,213.42857142857156
2020-06-05,9.57142857142856,,17.14285714285712,201.5714285714287
2020-06-06,9.857142857142847,,17.14285714285712,173.42857142857153
2020-06-07,10.142857142857133,,17.14285714285712,159.28571428571442
2020-06-08,10.285714285714276,,17.285714285714263,156.57142857142873
2020-06-09,10.428571428571418,,17.428571428571406,154.5714285714287
2020-06-10,10.571428571428562,,17.571428571428548,155.42857142857156
