date,admissions
2020-03-19,240
2020-03-20,272
2020-03-21,311
2020-03-22,335
2020-03-23,505
2020-03-24,637
2020-03-25,675
2020-03-26,519
2020-03-27,639
2020-03-28,551
2020-03-29,672
2020-03-30,883
2020-03-31,645
2020-04-01,767
2020-04-02,835
2020-04-03,647
2020-04-04,733
2020-04-05,732
2020-04-06,743
2020-04-07,722
2020-04-08,744
2020-04-09,554
2020-04-10,531
2020-04-11,490
2020-04-12,384
2020-04-13,416
2020-04-14,447
2020-04-15,412
2020-04-16,388
2020-04-17,358
2020-04-18,283
2020-04-19,290
2020-04-20,308
2020-04-21,288
2020-04-22,225
2020-04-23,266
2020-04-24,171
2020-04-25,137
2020-04-26,187
2020-04-27,261
2020-04-28,248
2020-04-29,212
2020-04-30,183
2020-05-01,201
2020-05-02,150
2020-05-03,157
2020-05-04,169
2020-05-05,178
2020-05-06,216
2020-05-07,202
2020-05-08,99
2020-05-09,85
2020-05-10,86
2020-05-11,91
2020-05-12,80
2020-05-13,91
2020-05-14,91
2020-05-15,77
2020-05-16,59
2020-05-17,51
2020-05-18,74
2020-05-19,89
2020-05-20,71
2020-05-21,76
2020-05-22,77
2020-05-23,43
2020-05-24,41
2020-05-25,49
2020-05-26,67
2020-05-27,69
2020-05-28,57
2020-05-29,51
2020-05-30,30
2020-05-31,42
2020-06-01,48
2020-06-02,51
2020-06-03,68
2020-06-04,58
2020-06-05,50
2020-06-06,46
2020-06-07,56
2020-06-08,69
2020-06-09,35
2020-06-10,41
2020-06-11,32
2020-06-12,30
2020-06-13,20
2020-06-14,22
2020-06-15,49
2020-06-16,56
2020-06-17,56
2020-06-18,50
2020-06-19,47
2020-06-20,19
2020-06-21,25
2020-06-22,60
2020-06-23,69
2020-06-24,51
2020-06-25,47
2020-06-26,39
2020-06-27,29
2020-06-28,18
2020-06-29,20
2020-06-30,28
2020-07-01,53
2020-07-02,27
2020-07-03,20
2020-07-04,16
2020-07-05,23
2020-07-06,30
2020-07-07,26
2020-07-08,30
2020-07-09,27
2020-07-10,26
2020-07-11,17
2020-07-12,16
2020-07-13,18
2020-07-14,19
2020-07-15,22
2020-07-16,24
2020-07-17,18
2020-07-18,5
2020-07-19,7
2020-07-20,14
2020-07-21,11
2020-07-22,11
2020-07-23,14
2020-07-24,15
2020-07-25,5
2020-07-26,9
2020-07-27,10
2020-07-28,7
2020-07-29,11
2020-07-30,5
2020-07-31,2
2020-08-01,5
2020-08-02,10
2020-08-03,2
2020-08-04,5
2020-08-05,12
2020-08-06,7
2020-08-07,7
2020-08-08,2
2020-08-09,10
2020-08-10,9
2020-08-11,18
2020-08-12,5
2020-08-13,9
2020-08-14,8
2020-08-15,4
2020-08-16,7
2020-08-17,2
2020-08-18,6
2020-08-19,7
2020-08-20,6
2020-08-21,5
2020-08-22,3
2020-08-23,8
2020-08-24,6
2020-08-25,9
2020-08-26,5
2020-08-27,5
2020-08-28,11
2020-08-29,6
2020-08-30,6
2020-08-31,6
2020-09-01,6
2020-09-02,11
2020-09-03,15
2020-09-04,11
2020-09-05,23
2020-09-06,12
2020-09-07,5
2020-09-08,11
2020-09-09,17
2020-09-10,19
2020-09-11,13
2020-09-12,19
2020-09-13,23
2020-09-14,31
2020-09-15,26
2020-09-16,25
2020-09-17,28
2020-09-18,41
2020-09-19,32
2020-09-20,38
2020-09-21,44
2020-09-22,35
2020-09-23,36
2020-09-24,47
2020-09-25,36
2020-09-26,28
2020-09-27,23
2020-09-28,28
2020-09-29,36
2020-09-30,31
2020-10-01,50
2020-10-02,37
2020-10-03,38
2020-10-04,27
2020-10-05,47
2020-10-06,43
2020-10-07,46
2020-10-08,39
2020-10-09,55
2020-10-10,51
2020-10-11,50
2020-10-12,69
2020-10-13,73
2020-10-14,76
2020-10-15,78
2020-10-16,67
2020-10-17,87
2020-10-18,95
2020-10-19,90
2020-10-20,89
2020-10-21,114
2020-10-22,108
2020-10-23,125
2020-10-24,108
2020-10-25,118
2020-10-26,155
2020-10-27,109
2020-10-28,112
2020-10-29,140
2020-10-30,126
2020-10-31,132
2020-11-01,134
2020-11-02,136
2020-11-03,103
2020-11-04,123
2020-11-05,118
2020-11-06,101
2020-11-07,109
2020-11-08,150
2020-11-09,136
2020-11-10,147
2020-11-11,134
2020-11-12,152
2020-11-13,136
2020-11-14,139
2020-11-15,170
2020-11-16,154
2020-11-17,152
2020-11-18,179
2020-11-19,173
2020-11-20,116
2020-11-21,165
2020-11-22,145
2020-11-23,147
2020-11-24,131
2020-11-25,200
2020-11-26,155
2020-11-27,124
2020-11-28,107
2020-11-29,154
2020-11-30,146
2020-12-01,160
2020-12-02,162
2020-12-03,156
2020-12-04,170
2020-12-05,141
2020-12-06,179
2020-12-07,210
2020-12-08,203
2020-12-09,248
2020-12-10,235
2020-12-11,277
2020-12-12,246
2020-12-13,287
2020-12-14,292
2020-12-15,332
2020-12-16,252
2020-12-17,366
2020-12-18,357
2020-12-19,404
2020-12-20,413
2020-12-21,505
2020-12-22,508
2020-12-23,511
2020-12-24,492
2020-12-25,578
2020-12-26,607
2020-12-27,629
2020-12-28,739
2020-12-29,679
2020-12-30,681
2020-12-31,708
2021-01-01,796
2021-01-02,828
2021-01-03,865
2021-01-04,830
2021-01-05,913
2021-01-06,977
2021-01-07,820
2021-01-08,813
2021-01-09,832
2021-01-10,734
2021-01-11,795
2021-01-12,875
2021-01-13,804
2021-01-14,763
2021-01-15,670
2021-01-16,758
2021-01-17,652
2021-01-18,704
2021-01-19,742
2021-01-20,660
2021-01-21,598
2021-01-22,580
2021-01-23,520
2021-01-24,544
2021-01-25,478
2021-01-26,472
2021-01-27,485
2021-01-28,473
2021-01-29,423
2021-01-30,370
2021-01-31,394
2021-02-01,421
2021-02-02,357
2021-02-03,349
2021-02-04,329
2021-02-05,292
2021-02-06,236
2021-02-07,302
2021-02-08,287
2021-02-09,232
2021-02-10,243
2021-02-11,217
2021-02-12,190
2021-02-13,175
2021-02-14,196
2021-02-15,179
2021-02-16,166
2021-02-17,150
2021-02-18,142
2021-02-19,150
2021-02-20,110
2021-02-21,127
2021-02-22,129
2021-02-23,103
2021-02-24,105
2021-02-25,110
2021-02-26,72
2021-02-27,64
2021-02-28,97
2021-03-01,89
2021-03-02,95
2021-03-03,67
2021-03-04,88
2021-03-05,62
2021-03-06,49
2021-03-07,58
