date,hospitalCases,newAdmissions,stay length
2020-03-27,,,
2020-03-28,,,
2020-03-29,,,
2020-03-30,,,
2020-03-31,,,
2020-04-01,,,
2020-04-02,10896.0,2825.4285714285716,3.8348506295251794
2020-04-03,12078.714285714286,2925.8571428571427,4.126660313302815
2020-04-04,13396.42857142857,3030.1428571428573,4.442888907285272
2020-04-05,14729.285714285714,3091.285714285714,4.819602424035037
2020-04-06,15929.285714285714,3070.714285714286,5.23704684028399
2020-04-07,17020.285714285714,3116.0,5.5195380823632245
2020-04-08,18035.0,3030.5714285714284,5.971678136010176
2020-04-09,19053.571428571428,2936.8571428571427,6.509926666975574
2020-04-10,19872.714285714286,2870.1428571428573,6.986222099741306
2020-04-11,20408.714285714286,2761.714285714286,7.534640480838675
2020-04-12,20813.285714285714,2640.1428571428573,8.110820928343411
2020-04-13,21072.571428571428,2513.714285714286,8.605208000269911
2020-04-14,21222.14285714286,2362.1428571428573,9.143281985060696
2020-04-15,21199.571428571428,2206.8571428571427,9.708660059789503
2020-04-16,21111.571428571428,2118.714285714286,10.015226742555923
2020-04-17,20833.0,2047.5714285714287,10.18626674971089
2020-04-18,20576.14285714286,1971.2857142857142,10.48914498505906
2020-04-19,20274.285714285714,1912.857142857143,10.677119137786281
2020-04-20,19991.85714285714,1852.2857142857142,10.858363150529817
2020-04-21,19685.85714285714,1798.7142857142858,10.998469787020595
2020-04-22,19393.14285714286,1748.2857142857142,11.168326549689715
2020-04-23,19032.85714285714,1677.142857142857,11.40693395215433
2020-04-24,18709.0,1614.2857142857142,11.600034285267174
2020-04-25,18301.571428571428,1561.0,11.782808418638918
2020-04-26,17870.285714285714,1517.857142857143,11.840636600162393
2020-04-27,17489.0,1489.4285714285713,11.798435470376957
2020-04-28,17023.0,1461.4285714285713,11.69747192086358
2020-04-29,16592.714285714286,1456.0,11.452744016019116
2020-04-30,16206.57142857143,1445.857142857143,11.268024202491
2020-05-01,15872.285714285714,1408.2857142857142,11.336245642011184
2020-05-02,15554.57142857143,1397.5714285714287,11.187125898226034
2020-05-03,15216.42857142857,1373.7142857142858,11.147847150460203
2020-05-04,14850.0,1332.5714285714287,11.211282855457416
2020-05-05,14542.285714285714,1279.5714285714287,11.426803308686972
2020-05-06,14203.285714285714,1239.142857142857,11.495143528977318
2020-05-07,13840.714285714286,1199.4285714285713,11.54244766732768
2020-05-08,13459.285714285714,1149.142857142857,11.76796944009872
2020-05-09,13122.285714285714,1115.2857142857142,11.848137057229149
2020-05-10,12770.714285714286,1076.2857142857142,11.97294170006658
2020-05-11,12466.42857142857,1044.7142857142858,12.023247072827926
2020-05-12,12161.857142857143,1021.4285714285714,11.99706995004782
2020-05-13,11903.857142857143,987.1428571428571,12.116933513037369
2020-05-14,11660.285714285714,950.7142857142857,12.283679569086273
2020-05-15,11465.714285714286,945.1428571428571,12.145014183299352
2020-05-16,11211.0,926.5714285714286,12.122907316267947
2020-05-17,10992.714285714286,909.0,12.131640431968277
2020-05-18,10744.714285714286,883.1428571428571,12.19380055785922
2020-05-19,10519.285714285714,868.5714285714286,12.132948990241664
2020-05-20,10265.142857142857,852.1428571428571,12.060972843731355
2020-05-21,10032.57142857143,842.4285714285714,11.923207003277769
2020-05-22,9817.285714285714,823.5714285714286,11.945093807120825
2020-05-23,9613.857142857143,799.2857142857143,12.104344464279697
2020-05-24,9416.0,770.0,12.409745456435374
2020-05-25,9216.714285714286,734.8571428571429,12.783014366895562
2020-05-26,9033.714285714286,708.7142857142857,12.946519352067126
2020-05-27,8841.857142857143,688.8571428571429,12.990458783158486
2020-05-28,8643.857142857143,669.0,13.020971956953465
2020-05-29,8415.57142857143,651.1428571428571,13.010606812451602
2020-05-30,8194.57142857143,640.4285714285714,12.880091606128124
2020-05-31,7969.285714285715,632.0,12.693106919888752
2020-06-01,7742.285714285715,632.2857142857143,12.310335992327834
2020-06-02,7507.0,628.0,12.038372959735629
2020-06-03,7306.0,616.7142857142857,11.92667143904002
2020-06-04,7115.571428571428,597.1428571428571,11.979795077119409
2020-06-05,6942.285714285715,577.4285714285714,12.127453163155126
2020-06-06,6781.714285714285,554.2857142857143,12.461242847071432
2020-06-07,6596.142857142857,537.1428571428571,12.582311729169728
2020-06-08,6407.428571428572,509.7142857142857,12.923047554136888
2020-06-09,6214.0,484.57142857142856,13.071917062506909
2020-06-10,6022.285714285715,467.42857142857144,13.057871944445825
2020-06-11,5823.142857142857,450.42857142857144,13.054865022402435
2020-06-12,5639.857142857143,438.42857142857144,12.9971562245976
2020-06-13,5468.142857142857,435.42857142857144,12.669045419146892
2020-06-14,5321.0,429.14285714285717,12.516130406988182
2020-06-15,5170.142857142857,433.0,12.046115968676421
2020-06-16,5046.142857142857,427.7142857142857,11.908907126415313
2020-06-17,4938.714285714285,416.14285714285717,11.945891949584349
2020-06-18,4850.142857142857,410.0,11.903147192533211
2020-06-19,4753.571428571428,402.0,11.924891604583747
2020-06-20,4655.142857142857,383.7142857142857,12.455031725718865
2020-06-21,4557.142857142857,372.85714285714283,12.623061116962543
2020-06-22,4473.0,366.42857142857144,12.590502282113082
2020-06-23,4368.857142857143,353.2857142857143,12.690576234135088
2020-06-24,4270.428571428572,344.14285714285717,12.694501354908036
2020-06-25,4169.0,332.85714285714283,12.775584151044594
2020-06-26,4055.5714285714284,333.2857142857143,12.424378624586224
2020-06-27,3954.4285714285716,337.57142857142856,11.82490504944866
2020-06-28,3859.4285714285716,326.14285714285717,12.173653523197133
2020-06-29,3783.285714285714,301.2857142857143,13.05520800932015
