,50 to 54,55 to 59,60 to 64,65 to 69,70 to 79,Over 80
30+,7.5,6.200000000000003,5.099999999999994,4.099999999999994,2.700000000000003,2.4000000000000057
under 30,13.900000000000006,11.299999999999997,9.299999999999997,7.299999999999997,4.5,3.9000000000000057
