date,under 70,80+
2020-12-01,21.55884357605362,30.08640140883826
2020-12-02,21.445529932977394,30.113917781079742
2020-12-03,21.51454049755765,30.17445380001101
2020-12-04,21.69090082926275,30.433107699080956
2020-12-05,21.941099625127798,30.62021903032305
2020-12-06,22.46222878564126,30.97793186946233
2020-12-07,23.150914460979212,30.8678663804964
2020-12-08,24.021924343973645,31.060480986186782
2020-12-09,25.09996592070885,31.869462330086407
2020-12-10,26.713336362603656,33.151725276539544
2020-12-11,28.56497784846075,34.46150459523417
2020-12-12,30.130637282744523,35.452093995927584
2020-12-13,32.05072134499602,36.71234384458753
2020-12-14,35.27774622287856,38.84761433052667
2020-12-15,38.63853231852777,40.3059820593253
2020-12-16,42.02998977621265,41.68730394584778
2020-12-17,44.991196183119385,42.82648175664521
2020-12-18,48.227024877882535,43.82807770623521
2020-12-19,49.71543791889129,44.862693302515005
2020-12-20,52.697091900488466,44.956248968136045
2020-12-21,56.23026241054186,46.00737438776072
2020-12-22,59.35419743269339,47.306147157558755
2020-12-23,61.35862774054299,48.35176930273513
2020-12-24,61.15699193456776,47.416212646524684
2020-12-25,56.06270589571737,43.6849925705795
2020-12-26,60.09173009201408,45.3744978262066
2020-12-27,63.63285243666932,48.22519399042431
2020-12-28,62.906395546972625,47.47674866545595
2020-12-29,71.14478018857207,54.691541467172975
2020-12-30,77.72350335113029,59.501403334984325
2020-12-31,82.35033511302964,63.35919872324034
2021-01-01,86.36941951607406,67.20048428815146
2021-01-02,90.85624219016245,72.1919542127566
2021-01-03,92.62183346586392,74.78949975235265
2021-01-04,100.0,84.35419074349238
2021-01-05,95.89344541633534,85.66947333663529
2021-01-06,92.55765080086333,87.95333223267846
2021-01-07,92.31795978643643,92.52655329921303
2021-01-08,95.7477564466659,100.0
2021-01-09,90.62365102805862,98.80578944471961
2021-01-10,86.08116551175736,97.54553959605967
2021-01-11,81.43871407474724,96.68702878212537
2021-01-12,77.8714642735431,95.22866105332673
2021-01-13,75.21924343973645,93.34103791756095
2021-01-14,73.08019993184142,91.98172912883167
2021-01-15,71.72412813813473,89.65934731165044
2021-01-16,69.78217653072815,86.6820758351219
2021-01-17,68.09269567193002,84.91002146277036
2021-01-18,65.24139497898445,81.23933740575643
2021-01-19,63.07224809723958,78.2565626547796
2021-01-20,60.6122912643417,76.47900500797975
2021-01-21,58.159150289673974,72.65973254086182
2021-01-22,55.68328978757241,68.9615321116064
2021-01-23,53.66806770419175,67.24451048373783
2021-01-24,50.86163807792797,64.71300423752133
2021-01-25,47.3633988413041,60.93225469154147
2021-01-26,44.41440418039305,56.87634142314677
2021-01-27,42.33585141429058,52.963513290407796
2021-01-28,40.55378848119959,50.82824280446866
2021-01-29,38.66465977507668,49.13873754884157
2021-01-30,37.437237305464045,47.13554564966155
2021-01-31,37.01806202430989,46.34307412910682
2021-02-01,35.26553447688288,43.56392053271697
2021-02-02,33.56668181301829,41.29106818557042
2021-02-03,32.073440872429856,39.47498761763249
2021-02-04,30.67249801204135,37.37273677838314
2021-02-05,29.253095535612854,35.05585823565022
2021-02-06,28.1023514710894,34.09278520719828
2021-02-07,27.178802680904234,33.0636728853668
2021-02-08,25.59638759513802,30.8678663804964
2021-02-09,24.27695103941838,28.02817676517528
2021-02-10,22.866636373963424,26.052501238236754
2021-02-11,21.61422242417358,24.35749270816136
2021-02-12,20.770475974099735,22.88811843046613
2021-02-13,20.066738611836872,22.00209124429035
2021-02-14,19.4175281154152,20.989488745803754
2021-02-15,19.081563103487447,20.15299102966265
2021-02-16,18.73423832784278,19.233944196797097
2021-02-17,18.294047483812335,18.276374442793465
2021-02-18,17.961490400999658,17.830609212481427
2021-02-19,17.572986481881177,16.823509988443124
2021-02-20,17.36368283539702,16.46579714930384
2021-02-21,17.188742474156534,16.09157448681966
2021-02-22,16.570203339770533,14.963403224918828
2021-02-23,15.90338520958764,14.203951351053878
2021-02-24,15.212711575599227,13.295911067084917
2021-02-25,14.363001249574008,12.470419899840406
2021-02-26,13.528058616380779,11.694458202630566
2021-02-27,12.79819379756901,11.028561994386662
2021-02-28,12.047597409973873,10.461724726212097
2021-03-01,11.002783142110644,9.608717186726103
2021-03-02,10.345052822901284,9.041879918551539
2021-03-03,9.770816767011246,8.497055748170162
