,First dose,Second dose
Wales,93.02638984676608,86.07018002806251
Scotland,92.2906549142133,81.58715403083981
England,90.69747319189922,79.7320462983938
Northern Ireland,87.78990778836611,79.36353462788428
United Kingdom,90.86293653956446,80.18162970315605
