,Cases per million
Argentina,972.1039999999999
Australia,3.176
Brazil,2276.94
Canada,570.2909999999999
China,0.11800000000000001
European Union,1906.12
France,2376.584
Germany,742.6239999999999
India,97.887
Indonesia,155.833
Italy,2479.217
Japan,60.256
Mexico,298.194
Russia,479.14
Saudi Arabia,75.832
South Africa,134.584
South Korea,59.451
Spain,769.932
Turkey,1065.117
United Kingdom,603.217
United States,1134.2839999999999
