,Cases reported,PCCF estimate of cases
2020-12-14,24241.0,18289.0
2020-12-15,20979.0,18710.0
2020-12-16,31184.0,19757.0
2020-12-17,22865.0,22430.0
2020-12-18,24093.0,23409.0
2020-12-19,18702.0,24509.0
2020-12-20,28997.0,24900.0
2020-12-21,25434.0,26413.0
2020-12-22,26898.0,26722.0
2020-12-23,24373.0,27823.0
2020-12-24,27158.0,26809.0
2020-12-25,32056.0,27622.0
2020-12-26,43901.0,28981.0
2020-12-27,25181.0,33029.0
2020-12-28,36084.0,32686.0
2020-12-29,53180.0,34552.0
2020-12-30,40036.0,38662.0
2020-12-31,35365.0,41570.0
2021-01-01,43909.0,36228.0
2021-01-02,44303.0,37923.0
2021-01-03,38405.0,37847.0
2021-01-04,40440.0,40019.0
2021-01-05,40056.0,40771.0
2021-01-06,36048.0,38781.0
2021-01-07,27508.0,38296.0
2021-01-08,32549.0,37347.0
2021-01-09,35189.0,35738.0
2021-01-10,39813.0,34444.0
2021-01-11,27602.0,34665.0
2021-01-12,26128.0,32895.0
2021-01-13,25107.0,30961.0
2021-01-14,23608.0,29444.0
2021-01-15,30463.0,28894.0
2021-01-16,27938.0,28663.0
2021-01-17,31387.0,27696.0
2021-01-18,21868.0,26637.0
2021-01-19,19139.0,25838.0
2021-01-20,20084.0,24831.0
2021-01-21,18932.0,24112.0
2021-01-22,21321.0,23427.0
2021-01-23,23051.0,22190.0
2021-01-24,24817.0,21595.0
2021-01-25,13261.0,20833.0
2021-01-26,10830.0,19561.0
2021-01-27,10863.0,18275.0
2021-01-28,12728.0,16881.0
2021-01-29,14715.0,15977.0
2021-01-30,17752.0,15114.0
2021-01-31,12169.0,14558.0
2021-02-01,9398.0,12901.0
2021-02-02,9071.0,11543.0
2021-02-03,7980.0,11235.0
2021-02-04,8650.0,10765.0
2021-02-05,9558.0,10190.0
2021-02-06,13206.0,9542.0
2021-02-07,9111.0,8213.0
2021-02-08,7142.0,7867.0
2021-02-09,6846.0,7555.0
2021-02-10,5428.0,7249.0
2021-02-11,5938.0,6872.0
2021-02-12,7796.0,6509.0
2021-02-13,11103.0,6326.0
2021-02-14,8726.0,6220.0
2021-02-15,6868.0,6215.0
2021-02-16,6938.0,6164.0
2021-02-17,6969.0,6155.0
2021-02-18,7235.0,6303.0
2021-02-19,7249.0,6429.0
2021-02-20,8245.0,6351.0
2021-02-21,5127.0,6046.0
2021-02-22,4991.0,5598.0
2021-02-23,4397.0,5345.0
2021-02-24,4231.0,5013.0
2021-02-25,4250.0,4665.0
2021-02-26,4395.0,4304.0
2021-02-27,6309.0,3977.0
2021-02-28,3427.0,3821.0
2021-03-01,2275.0,3604.0
2021-03-02,2929.0,3254.0
2021-03-03,2232.0,3068.0
2021-03-04,2009.0,2810.0
2021-03-05,1873.0,2530.0
2021-03-06,4075.0,2229.0
2021-03-07,1943.0,2062.0
2021-03-08,2078.0,1893.0
2021-03-09,2500.0,1864.0
2021-03-10,436.0,1648.0
