,under 30,30s,40s,50s,over 60
0,25.60674980301948,25.002986657449977,25.4409010736897,25.64973205592577,27.31898044077703
1,26.27728665872314,25.049291923359096,25.988397827526992,27.161188010682885,28.279882903414727
2,26.864706304085523,25.132242107630226,26.621588125698093,28.409240296912465,29.15175622399407
3,27.7744014246306,25.28681840210338,27.364792892550206,28.825586479092784,30.2097800895986
4,28.897870097930788,25.430349699214343,28.482954441622603,29.19471244197452,31.299523619875245
5,30.32256350956162,25.587995837463577,28.990406910036988,29.650497009045328,33.06294430276645
6,31.65698820306298,25.773442309209475,29.452774296302938,30.283098805843235,35.72470585095439
7,33.48005738793376,25.86592403639375,29.97531236075719,31.267735395980505,38.379838024906036
8,34.508932340903854,25.965264610336465,30.637680409317603,32.545832539012906,39.93218200108482
9,35.41055173119878,26.253604517178513,31.419077490046266,33.85897800579368,41.366189149534065
10,36.59392437688787,26.95291707611334,32.41037285583702,34.29237927482204,42.971325494496725
11,37.89523857636361,27.849848144703422,33.85657866285937,34.80969686327124,44.956070226838065
12,39.33855103273785,28.8454864977859,34.61001219970925,35.46008742836834,47.0772130852858
13,40.609967084220806,29.971335602083844,35.199221239832404,36.31940882113628,49.22722119538678
14,42.135786584650745,30.544548424370483,35.81256723361934,36.97304682872207,51.79747739822251
15,42.98598151931943,30.956293904267028,36.43463343780006,38.562910478234016,53.022077671575374
16,43.71892582378954,31.95835102160859,36.95334491203932,41.256507664264966,54.272089356828666
17,44.52543105780491,33.637673638038585,37.225376229246116,42.62129949418076,55.90773224093044
18,45.342030954632975,35.305704381557966,37.49741981116513,44.80317190938192,57.70685449465508
19,46.182149172556194,36.65573795126569,37.58001038330537,47.510071582051744,59.827740455931114
20,46.887088639125494,37.92897175797395,37.64048767929936,50.45740227453277,62.111299415152175
21,47.734762151349415,38.69115171200143,37.874743682845335,54.09914441917988,64.41933496601001
22,48.17199116012621,39.33709621759826,38.119645456604815,58.48208524295981,65.31874623618883
23,48.57820936474242,40.51249217109334,38.37315705834802,64.07711593429822,66.28609967224916
24,49.04258180019333,42.094309679614575,38.664456238464275,66.39767819889623,67.65572553505793
25,49.51403395916355,43.822406317437945,39.088287898911304,68.44010302811985,69.33100194392662
26,50.0532235488653,45.211392555199495,39.28825176706908,70.33327780607597,70.80030390935413
27,50.54103354810887,46.43998482252063,39.40230132607295,72.10575597153557,71.87223590239307
28,51.05009169094396,47.239711327347855,39.64795124727831,73.84737140578778,72.85533142625242
29,51.24843162588767,47.72586295079609,40.38016683197455,75.71104256735588,73.17850806824816
30,51.4917354322575,48.254992387109446,41.322881672632015,77.98571967234508,73.63315183786021
31,51.77348868765166,49.193806429175964,42.33790925658305,79.08711986129813,74.38197141319634
32,52.06642234292548,50.34559893349763,43.481888024894424,79.96404960889366,75.46769735714894
33,52.3667587509286,51.400401548446375,44.180596415785025,80.72433603332117,76.64803995664433
34,52.63967356821565,52.56626595902832,45.06040554742746,81.49109328759651,77.85861079000946
35,52.977822339856694,53.240418679462685,45.91073031087489,81.87466435577055,78.81468215861274
36,53.13000498990399,53.84738904956671,46.84380508772151,82.10656783215774,79.29572211261673
37,53.29768406899797,54.4977773150352,47.86202149685171,82.39257129489363,79.78168592907825
38,53.485157660238414,55.193719486048046,48.871628077998174,82.4972953013717,80.36517076632926
39,53.69683152312849,55.97041142883518,50.101030566974345,82.55258601663293,81.07962320891828
40,53.90476363100266,56.75527173215935,50.706612997921255,82.68337375597395,82.01944583141166
41,54.09785434128377,57.58462330279769,51.312796399767315,82.83162551936528,83.0447866679502
42,54.312282925492504,58.036738301721634,52.15507551199347,82.96176377020856,84.05173794861471
43,54.424526602936,58.428690802866114,53.16990686054888,83.13152081941394,84.50287079021356
44,54.570957538438456,58.86531704455621,54.24060397330071,83.31000988064446,85.08072529778485
45,54.72398365364521,59.26701576300377,55.38444782977757,83.38506188482765,85.60877029817698
46,54.89300868778088,59.737109742084826,56.65572204629855,83.44150724630708,86.13201274866486
47,55.07081832182198,60.14634353161912,57.39620404703615,83.49914333669905,86.44952338081816
48,55.22405081680179,60.60217239748895,58.026732902653876,83.55872789258423,87.0493568686347
49,55.40309872948125,60.81649257468119,59.063235997715324,83.62046538256376,87.8183714160793
50,55.50519390591039,60.99930928515038,60.10452233054552,83.68644860290814,88.19266345921034
51,55.62269578105008,61.21951154062686,61.0507571436123,83.75812086139013,88.61871314640591
52,55.756017114446465,61.46125637113337,62.06723196360618,83.79159357415324,89.00260315331288
53,55.904063195998965,61.73903429799059,63.43354543517836,83.82684636650275,89.33283733149776
54,56.052674578668956,62.00896587589566,64.17488596577189,83.86703046040917,89.65405870057556
55,56.189190312030966,62.339489300360064,64.88799312881763,83.91494827846458,90.01238743889861
56,56.375407678565836,62.509951499688455,65.61299706272406,83.9660293460553,90.41468840977724
57,56.48006914260779,62.647804659185624,66.36158603824407,84.02295581012564,90.57143850070814
58,56.59348828745436,62.81090352693922,67.16604077796052,84.08362284684038,90.7142162399117
59,56.742476537536035,62.994621869846135,68.0186713073067,84.1120680375284,90.8516134105747
60,56.93238182088515,63.18033668457945,68.97301309515589,84.14436204894376,90.99050201204005
61,57.13054229515664,63.35314956847764,69.43708527642147,84.18117842471375,91.13779685984596
62,57.305660019114356,63.55667162385612,69.82900415565244,84.22231269623724,91.28459932140612
63,57.54289805476296,63.656280540786256,70.28633074519288,84.26748822952442,91.45512909118558
64,57.698418673313654,63.75634027393525,70.81156704633719,84.3155142956628,91.53011452119114
65,57.86683354116374,63.876547198579715,71.3193016031328,84.3590420525761,91.60577787428865
