,Cars,Motorbikes,Buses,Trucks,Vans,Pedestrians & cyclists
2020-03-12,,,,,,
2020-03-13,,,,,,
2020-03-14,,,,,,
2020-03-15,,,,,,
2020-03-16,,,,,,
2020-03-17,,,,,,
2020-03-18,1.0065082343942913,1.1141649048625792,1.0174652445523218,0.9746541337450428,0.995084378934265,1.021232204221895
2020-03-19,0.9891063459279351,1.1189972817879794,1.024964797224232,0.980670844307208,0.989408427991456,1.0022214040255277
2020-03-20,0.9698008138787749,1.1307762005436424,1.0218062719288008,0.9663442617988072,0.9767303693434994,0.9697318360333824
2020-03-21,0.9293824616163446,1.160072485653881,1.0101835212111312,0.9455998546907638,0.950316863055748,0.9302558910162003
2020-03-22,0.8742761486389672,1.160072485653881,0.9880738441431138,0.9237353555535374,0.9103800942101764,0.8806608983799705
2020-03-23,0.8414209478677245,1.1606765327695558,0.9688737445639912,0.9007583325765144,0.8822337430863028,0.8343305105547374
2020-03-24,0.7849362032270577,1.1404409543944427,0.9352657906815723,0.851042896497442,0.8235574950843789,0.7560260186548845
2020-03-25,0.7270909999545683,1.092721232256116,0.898514870741631,0.7948869312505675,0.7624764828200812,0.6746502209131074
2020-03-26,0.7125563092579583,1.1603745092117186,0.8649302557160751,0.7464732237459509,0.7332479877781392,0.653912002945508
2020-03-27,0.6850420943374467,1.2180610087586832,0.8475739258291128,0.7174492174492174,0.6994539770557198,0.6238095238095239
2020-03-28,0.6465688234803677,1.2370884929024464,0.8458390708023121,0.7017527926618835,0.6742499257352214,0.6092630093274424
2020-03-29,0.6243621446020248,1.2678948958018725,0.8553302059265137,0.7027290890927255,0.6689346894317684,0.604725085910653
2020-03-30,0.6092228610969241,1.2968891573542736,0.8590799822624688,0.6828625919535012,0.6472776653982714,0.6111653166421208
2020-03-31,0.6118014918614618,1.3557837511325883,0.8573918049493937,0.6700345109436018,0.6448835103899961,0.630636352479136
2020-04-01,0.6070181692370599,1.3929326487466025,0.8585665274114874,0.6574334756152939,0.6401447102259062,0.6468305105547374
2020-04-02,0.5694220821657103,1.3847780126849896,0.8590177453108347,0.6355311355311356,0.6096006676757246,0.6362573637702503
2020-04-03,0.5482044192688871,1.3588039867109634,0.8468893193611376,0.6187297550933915,0.5929547479948509,0.6340420962199312
2020-04-04,0.5375499063654986,1.3488372093023258,0.820104091301608,0.6034949898586263,0.5788267579534042,0.6233830387825233
2020-04-05,0.5231764737012113,1.3334340078526126,0.8010129063878451,0.5822813550086278,0.5589733071166877,0.6196305841924399
2020-04-06,0.5161380348786645,1.3542736333434007,0.7896157646198488,0.5761586897950535,0.5535130776738857,0.6141292341678939
2020-04-07,0.50456989287574,1.3107822410147991,0.7746477777518457,0.5676520449247723,0.5434307498620797,0.5992053264604811
2020-04-08,0.5104171191127713,1.3397765025672002,0.766837040321765,0.5712393666939122,0.5483003974933869,0.6049797496318116
2020-04-09,0.512742629684159,1.320144971307762,0.7510366342256555,0.5738730966003693,0.5490784094606255,0.5985794059891998
2020-04-10,0.4975279592970748,1.294170945333736,0.7250138088236439,0.5470211606575244,0.5146230885660532,0.576331615120275
2020-04-11,0.4984485779088478,1.3156146179401993,0.7254261286282198,0.5443722943722944,0.511320074123322,0.5832842415316641
2020-04-12,0.49878207749272224,1.363334340078526,0.7318754327413044,0.5353888535706718,0.5083035095412559,0.5938604565537556
2020-04-13,0.4792319125152708,1.3249773482331622,0.7132276861079345,0.5023461387097751,0.4642079130889904,0.5782247177221403
2020-04-14,0.4826163341905471,1.3101781938991242,0.7119284897425724,0.5025126388762752,0.46714314005629987,0.5754356897398134
2020-04-15,0.4789238747259737,1.2630625188764724,0.6996522510327444,0.4968743377834287,0.4630868685725602,0.5558848797250859
2020-04-16,0.4775359572960772,1.3101781938991242,0.7018383239588925,0.4963067235794508,0.4655977253759212,0.561751350024546
2020-04-17,0.49713405035743863,1.3476291150709756,0.7181833033818004,0.5269654587836407,0.5051808524182027,0.5718826705940109
2020-04-18,0.5022633538375667,1.3742071881606763,0.7263052255700516,0.5320210092937366,0.5179331758448502,0.5879571674030437
2020-04-19,0.5077790774942199,1.3388704318936875,0.71681409044585,0.5417158598976781,0.5237576563450412,0.5843673294059892
2020-04-20,0.5276537555398125,1.3446088794926006,0.7168763273974841,0.5730935730935732,0.5651408201660703,0.5871502209131075
2020-04-21,0.5304026308524059,1.3563877982482635,0.7088788791125011,0.5736990282444828,0.5666013608136591,0.5845698330878744
2020-04-22,0.5363277402257912,1.3627302929628513,0.706576111902039,0.5761132806587351,0.5688363770104538,0.582793323514973
2020-04-23,0.5415628848912207,1.3379643612201753,0.699372184750391,0.5767641449459632,0.5686878474530718,0.5733492881688758
2020-04-24,0.5450531477517985,1.3222591362126246,0.6912658218000481,0.5775436684527593,0.5693809853875207,0.5727202994599903
2020-04-25,0.5485164510651767,1.291754756871036,0.6794796990843388,0.5798519662156025,0.568818694920289,0.5567194403534609
2020-04-26,0.5532987751878308,1.3053458169737238,0.6792229716588482,0.579004329004329,0.5728219201335352,0.5659885861561119
2020-04-27,0.5618264793677088,1.3672606463304138,0.6926272551170444,0.58632276814095,0.5888277481504535,0.596750736377025
2020-04-28,0.5585319228497639,1.3074599818785866,0.7028496744229467,0.5967290285472104,0.5929688936669825,0.5693145557191949
2020-04-29,0.5650955740910764,1.3195409241920868,0.7135622097229678,0.6034041715859898,0.6071888305772849,0.5813113647520864
2020-04-30,0.569930319555507,1.2715191784959228,0.7209295088726554,0.6105712469348833,0.6194283733891616,0.571529823269514
