,United Kingdom,Sweden
2020-09-08,611.007,574.597
2020-09-09,611.124,574.991
2020-09-10,611.329,575.089
2020-09-11,611.417,575.385
2020-09-12,611.549,575.385
2020-09-13,611.622,575.385
2020-09-14,611.754,575.385
2020-09-15,612.15,575.385
2020-09-16,612.443,576.763
2020-09-17,612.751,577.156
2020-09-18,613.147,577.255
2020-09-19,613.543,577.255
2020-09-20,613.807,577.255
2020-09-21,613.968,577.255
2020-09-22,614.511,577.255
2020-09-23,615.053,578.337
2020-09-24,615.64,578.534
2020-09-25,616.138,578.731
2020-09-26,616.651,578.731
2020-09-27,616.9,578.731
2020-09-28,617.091,578.731
2020-09-29,618.147,578.731
2020-09-30,619.188,580.011
2020-10-01,620.053,580.011
2020-10-02,621.02,580.207
2020-10-03,621.739,580.207
2020-10-04,622.222,580.207
2020-10-05,622.501,580.207
2020-10-06,623.615,580.207
2020-10-07,624.642,579.912
2020-10-08,625.771,579.912
2020-10-09,627.046,580.109
2020-10-10,628.234,580.109
2020-10-11,629.187,580.109
2020-10-12,629.92,580.109
2020-10-13,632.016,580.109
2020-10-14,634.025,581.389
2020-10-15,636.048,581.684
2020-10-16,638.042,582.471
2020-10-17,640.241,582.471
2020-10-18,641.223,582.471
2020-10-19,642.396,582.471
2020-10-20,645.93,582.471
2020-10-21,648.73,583.554
2020-10-22,651.501,583.652
2020-10-23,654.785,583.948
2020-10-24,657.336,583.948
2020-10-25,659.55,583.948
2020-10-26,661.045,583.948
2020-10-27,666.426,583.948
2020-10-28,670.971,583.357
2020-10-29,675.076,584.046
2020-10-30,679.093,584.44
2020-10-31,683.873,584.44
2020-11-01,686.248,584.44
2020-11-02,688.242,584.44
2020-11-03,694.062,584.44
2020-11-04,701.276,590.247
2020-11-05,706.818,590.739
2020-11-06,712.023,592.707
2020-11-07,718.078,592.707
2020-11-08,720.365,592.707
2020-11-09,723.224,592.707
2020-11-10,731.023,592.707
2020-11-11,739.762,598.613
2020-11-12,748.016,602.55
2020-11-13,753.528,606.683
2020-11-14,760.302,606.683
2020-11-15,762.765,606.683
2020-11-16,765.903,606.683
2020-11-17,774.685,606.683
2020-11-18,782.44,622.136
2020-11-19,789.8,624.006
2020-11-20,797.292,630.502
2020-11-21,802.277,630.502
2020-11-22,808.127,630.502
2020-11-23,811.162,630.502
2020-11-24,820.076,630.502
2020-11-25,830.265,645.167
2020-11-26,837.567,651.761
2020-11-27,845.19,657.568
2020-11-28,852.213,657.568
2020-11-29,855.365,657.568
2020-11-30,858.342,657.568
2020-12-01,867.182,657.568
2020-12-02,876.683,686.21
2020-12-03,882.752,689.655
2020-12-04,890.142,695.56
2020-12-05,895.962,695.56
2020-12-06,899.349,695.56
2020-12-07,902.12,695.56
2020-12-08,910.902,695.56
2020-12-09,918.716,718.099
2020-12-10,926.282,723.808
2020-12-11,932.498,739.555
2020-12-12,940.122,739.555
2020-12-13,942.233,739.555
2020-12-14,945.649,739.555
2020-12-15,953.068,739.555
2020-12-16,962.04,767.901
2020-12-17,969.84,776.858
2020-12-18,977.024,786.7
2020-12-19,984.897,786.7
2020-12-20,989.677,786.7
2020-12-21,992.829,786.7
2020-12-22,1002.96,786.7
2020-12-23,1013.926,814.849
2020-12-24,1022.357,814.849
2020-12-25,1030.714,814.849
2020-12-26,1033.807,814.849
2020-12-27,1038.895,814.849
2020-12-28,1044.129,814.849
2020-12-29,1050.843,814.849
2020-12-30,1065.241,858.943
2020-12-31,1079.389,858.943
2021-01-01,1088.406,858.943
2021-01-02,1094.93,858.943
2021-01-03,1101.601,858.943
2021-01-04,1107.612,858.943
2021-01-05,1120.528,882.368
2021-01-06,1135.805,882.368
2021-01-07,1152.842,911.6
2021-01-08,1172.385,928.43
2021-01-09,1187.559,928.43
2021-01-10,1195.872,928.43
2021-01-11,1203.628,928.43
2021-01-12,1221.896,928.43
2021-01-13,1244.885,967.898
2021-01-14,1263.255,1002.445
2021-01-15,1282.095,1016.027
2021-01-16,1301.14,1016.027
2021-01-17,1311.139,1016.027
2021-01-18,1319.965,1016.027
2021-01-19,1343.599,1016.027
2021-01-20,1370.37,1062.68
2021-01-21,1389.371,1074.885
2021-01-22,1409.912,1083.152
2021-01-23,1429.734,1083.152
2021-01-24,1438.692,1083.152
2021-01-25,1447.4,1083.152
2021-01-26,1471.386,1106.971
2021-01-27,1496.691,1124.49
2021-01-28,1514.857,1133.841
2021-01-29,1533.154,1140.829
2021-01-30,1550.821,1140.829
2021-01-31,1559.471,1140.829
2021-02-01,1565.438,1140.829
2021-02-02,1586.711,1162.876
2021-02-03,1606.093,1175.08
2021-02-04,1619.508,1183.84
