,60 to 64,65 to 69,70 to 79,Over 80
Black African,40.6,37.3,36.0,36.2
Bangladeshi,19.700000000000003,15.900000000000006,15.900000000000006,20.200000000000003
Black Caribbean,42.3,34.5,26.400000000000006,23.900000000000006
Chinese,30.299999999999997,26.400000000000006,22.099999999999994,21.299999999999997
Asian other,23.5,18.900000000000006,17.5,17.900000000000006
White British / Mixed British,9.200000000000003,5.799999999999997,3.5999999999999943,3.200000000000003
Indian,17.099999999999994,13.099999999999994,10.5,9.700000000000003
Irish,16.5,11.099999999999994,7.299999999999997,5.799999999999997
Black other,39.0,29.599999999999994,28.200000000000003,29.5
White other,32.7,24.5,13.299999999999997,9.099999999999994
Mixed other,29.200000000000003,24.700000000000003,17.599999999999994,14.700000000000003
Pakistani,31.200000000000003,27.099999999999994,22.200000000000003,21.900000000000006
Mixed White/Asian,19.200000000000003,15.900000000000006,13.400000000000006,14.299999999999997
Mixed White/Black African,33.599999999999994,31.700000000000003,25.5,30.200000000000003
Mixed White/Black Caribbean,33.5,28.099999999999994,22.599999999999994,21.400000000000006
