,TriageCount
2021-01-31,3421
2021-02-01,3295
2021-02-02,2990
2021-02-03,2909
2021-02-04,2565
2021-02-05,2423
2021-02-06,2987
2021-02-07,2759
2021-02-08,2440
2021-02-09,2072
2021-02-10,2193
2021-02-11,2007
2021-02-12,1984
2021-02-13,2483
2021-02-14,2233
2021-02-15,2301
2021-02-16,2188
2021-02-17,2079
2021-02-18,2098
2021-02-19,2028
2021-02-20,2488
2021-02-21,2379
2021-02-22,2288
2021-02-23,1774
2021-02-24,1344
2021-02-25,1368
2021-02-26,1503
2021-02-27,1932
2021-02-28,1695
2021-03-01,1836
2021-03-02,1503
2021-03-03,1375
2021-03-04,1337
2021-03-05,1325
2021-03-06,1885
2021-03-07,1661
2021-03-08,1540
2021-03-09,1373
2021-03-10,1436
2021-03-11,1381
2021-03-12,1367
2021-03-13,1935
2021-03-14,1800
2021-03-15,1704
2021-03-16,1525
2021-03-17,1415
2021-03-18,1411
2021-03-19,1378
2021-03-20,1917
2021-03-21,1899
2021-03-22,1713
2021-03-23,1644
2021-03-24,1697
2021-03-25,1531
2021-03-26,1507
2021-03-27,2060
2021-03-28,1951
2021-03-29,1808
2021-03-30,1294
2021-03-31,1450
2021-04-01,1426
2021-04-02,2181
2021-04-03,2395
2021-04-04,2075
2021-04-05,2345
2021-04-06,1664
2021-04-07,1609
2021-04-08,1469
2021-04-09,1403
2021-04-10,1909
2021-04-11,1714
2021-04-12,1478
