areaCode,areaName,Cases last 7 days,not spot,number weeks not-spot
E02002796,Allestree North,,True,3
E02002797,Allestree South,,True,2
E02002798,Oakwood,4.0,False,0
E02002799,Breadsall Hilltop,12.0,False,0
E02002800,Darley Abbey,,True,4
E02002801,Chaddesden North,5.0,False,0
E02002802,Chaddesden West,5.0,False,0
E02002803,Little Chester,5.0,False,0
E02002804,Mackworth,,True,1
E02002805,Spondon North,3.0,False,0
E02002806,New Zealand,,True,1
E02002807,Chaddesden Park,,True,1
E02002808,Cathedral Quarter & California,5.0,False,0
E02002809,Spondon South,,True,4
E02002810,Mickleover North,4.0,False,0
E02002811,New Normanton,5.0,False,0
E02002812,Littleover East,4.0,False,0
E02002813,Rose Hill & Castleward,5.0,False,0
E02002814,Mickleover South,,True,1
E02002815,Normanton North & Peartree,10.0,False,0
E02002816,Littleover West & Heatherton,9.0,False,0
E02002817,Normanton West,,True,2
E02002818,Normanton South,7.0,False,0
E02002819,Wilmorton & Alvaston Village,4.0,False,0
E02002820,Alvaston & Crewton,7.0,False,0
E02002821,Allenton & Osmaston,4.0,False,0
E02002822,Sunny Hill,7.0,False,0
E02002823,Boulton,3.0,False,0
E02002824,Sinfin,6.0,False,0
E02002825,Chellsaton West & Shelton Lock,3.0,False,0
E02002826,Chellaston East,3.0,False,0
E02002827,Beamont Park,8.0,False,0
E02002828,Rushey Mead North,12.0,False,0
E02002829,Stocking Farm & Mowmacre,28.0,False,0
E02002830,Bradgate Heights & Beaumont Leys,4.0,False,0
E02002831,Rushey Mead South,13.0,False,0
E02002832,Belgrave North West,27.0,False,0
E02002833,Belgrave North East,10.0,False,0
E02002834,Abbey Park,7.0,False,0
E02002835,Hamilton & Humberstone,16.0,False,0
E02002836,Belgrave South,5.0,False,0
E02002837,Northfields & Merrydale,15.0,False,0
E02002838,New Parks & Stokeswood,11.0,False,0
E02002839,Colchester Road,16.0,False,0
E02002842,Newfoundpool,11.0,False,0
E02002843,Spinney Hill Road,20.0,False,0
E02002844,St Matthews & Highfields North,5.0,False,0
E02002845,North Evington & Rowlatts Hill,6.0,False,0
E02002846,Dane Hills & Western Park,12.0,False,0
E02002847,Crown Hills,5.0,False,0
E02002848,Highfields South,10.0,False,0
E02002849,West End & Westcotes,21.0,False,0
E02002851,Evington,13.0,False,0
E02002852,Braunstone Park West,6.0,False,0
E02002853,Stoneygate North,7.0,False,0
E02002854,Braunstone Park East,10.0,False,0
E02002855,Rowley Fields & Faircharm,23.0,False,0
E02002856,Clarendon Park & Stoneygate South,13.0,False,0
E02002857,Aylestone North & Saffron Fields,3.0,False,0
E02002858,Knighton,3.0,False,0
E02002860,Aylestone South,4.0,False,0
E02002861,Saffron Lane,12.0,False,0
E02002862,Eyres Monsell,10.0,False,0
E02002863,"Market Overton, Cottesmore & Empingham",6.0,False,0
E02002864,"Oakham West, Langham & Whissendine",12.0,False,0
E02002865,Oakham East,4.0,False,0
E02002866,"Ketton, Ryhall & Luffenham",,True,1
E02002867,"Uppingham, Lyddington & Braunston",,True,3
E02002868,Rise Park & Top Valley West,9.0,False,0
E02002869,Bulwell North,,True,1
E02002871,Highbury Vale,7.0,False,0
E02002872,Bulwell West,4.0,False,0
E02002873,Bestwood,3.0,False,0
E02002874,North Sherwood,19.0,False,0
E02002875,Basford Park Lane,3.0,False,0
E02002876,Old Basford,5.0,False,0
E02002877,Sherwood Vale,12.0,False,0
E02002878,Broxtowe & Cinderhill,8.0,False,0
E02002879,New Basford,8.0,False,0
E02002880,Aspley,9.0,False,0
E02002881,Bilborough North,5.0,False,0
E02002882,Mapperley Park,,True,2
E02002883,Thorneywood,10.0,False,0
E02002884,Forest Fields,5.0,False,0
E02002885,Hyson Green,10.0,False,0
E02002886,Bobbers Mill,14.0,False,0
E02002887,Beechdale,4.0,False,0
E02002888,St Ann's East,3.0,False,0
E02002889,"Arboretum, Forest & Trent University",3.0,False,0
E02002890,St Ann's West,8.0,False,0
E02002891,Bakersfield,12.0,False,0
E02002892,Bilborough South,6.0,False,0
E02002893,Radford,5.0,False,0
E02002894,Wollaton Park,6.0,False,0
E02002895,The Park & Castle,,True,2
E02002896,Sneinton,10.0,False,0
E02002897,Wollaton Vale,4.0,False,0
E02002898,Lenton & Dunkirk,4.0,False,0
E02002899,"University Park, Lenton Abbey & Jubilee Campus",4.0,False,0
E02002901,Wilford & Silverdale,5.0,False,0
E02002902,Clifton North,7.0,False,0
E02002903,Clifton West,,True,1
E02002904,Clifton South,,True,2
E02004029,Alfreton,,True,3
E02004030,"Crich, Holloway & Wingfield",,True,2
E02004031,Somercotes & Pye Bridge,,True,1
E02004032,Swanwick & Leabrooks,3.0,False,0
E02004033,"Ripley East, Riddings & Ironville",8.0,False,0
E02004034,Ripley West,,True,2
E02004035,"Ambergate, Heage & Idridgehay",,True,3
E02004036,Ripley South & Loscoe,9.0,False,0
E02004037,Belper Far Laund,,True,4
E02004038,Belper Town,8.0,False,0
E02004039,Openwoodgate & Holbrook,4.0,False,0
E02004040,Heanor Gate & Aldercar,5.0,False,0
E02004041,Heanor East & Langley Mill,8.0,False,0
E02004043,Kilburn & Horsley,,True,1
E02004044,"Duffield, Quarndon & Kirk Langley",3.0,False,0
E02004045,Clowne & Barlborough,9.0,False,0
