,Occupied beds,Available but unoccupied
2020-11-02,369.0,179.0
2020-11-03,391.0,157.0
2020-11-04,392.0,161.0
2020-11-05,397.0,141.0
2020-11-06,404.0,134.0
2020-11-07,398.0,143.0
2020-11-08,407.0,135.0
2020-11-09,390.0,125.0
2020-11-10,390.0,136.0
2020-11-11,398.0,133.0
2020-11-12,394.0,104.0
2020-11-13,408.0,111.0
2020-11-14,391.0,126.0
2020-11-15,382.0,137.0
2020-11-16,386.0,138.0
2020-11-17,415.0,117.0
2020-11-18,424.0,109.0
2020-11-19,430.0,99.0
2020-11-20,430.0,104.0
2020-11-21,415.0,125.0
2020-11-22,402.0,137.0
2020-11-23,398.0,136.0
2020-11-24,421.0,125.0
2020-11-25,434.0,109.0
2020-11-26,425.0,121.0
2020-11-27,426.0,124.0
2020-11-28,435.0,128.0
2020-11-29,426.0,138.0
2020-11-30,424.0,137.0
2020-12-01,423.0,142.0
2020-12-02,433.0,129.0
2020-12-03,420.0,158.0
2020-12-04,436.0,146.0
2020-12-05,435.0,142.0
2020-12-06,410.0,152.0
2020-12-07,407.0,153.0
2020-12-08,428.0,136.0
2020-12-09,433.0,135.0
2020-12-10,444.0,128.0
2020-12-11,439.0,135.0
2020-12-12,428.0,144.0
2020-12-13,426.0,140.0
2020-12-14,431.0,140.0
2020-12-15,450.0,102.0
2020-12-16,457.0,99.0
2020-12-17,442.0,103.0
2020-12-18,470.0,103.0
2020-12-19,468.0,110.0
2020-12-20,436.0,142.0
2020-12-21,444.0,130.0
2020-12-22,457.0,124.0
2020-12-23,474.0,111.0
2020-12-24,476.0,103.0
2020-12-25,447.0,136.0
2020-12-26,439.0,143.0
2020-12-27,462.0,137.0
2020-12-28,488.0,118.0
2020-12-29,534.0,108.0
2020-12-30,547.0,79.0
2020-12-31,561.0,91.0
2021-01-01,557.0,97.0
2021-01-02,561.0,109.0
2021-01-03,582.0,83.0
2021-01-04,587.0,83.0
2021-01-05,614.0,91.0
2021-01-06,641.0,75.0
2021-01-07,653.0,75.0
2021-01-08,652.0,63.0
2021-01-09,652.0,72.0
2021-01-10,654.0,67.0
2021-01-11,672.0,63.0
2021-01-12,705.0,60.0
2021-01-13,714.0,67.0
2021-01-14,711.0,68.0
2021-01-15,740.0,91.0
2021-01-16,797.0,80.0
2021-01-17,802.0,73.0
2021-01-18,813.0,72.0
2021-01-19,795.0,81.0
2021-01-20,796.0,70.0
2021-01-21,801.0,74.0
2021-01-22,805.0,88.0
2021-01-23,806.0,81.0
2021-01-24,802.0,83.0
2021-01-25,812.0,69.0
2021-01-26,800.0,85.0
2021-01-27,798.0,77.0
2021-01-28,778.0,77.0
2021-01-29,772.0,91.0
2021-01-30,771.0,92.0
2021-01-31,751.0,100.0
2021-02-01,766.0,96.0
2021-02-02,747.0,122.0
2021-02-03,722.0,123.0
2021-02-04,741.0,110.0
2021-02-05,710.0,127.0
2021-02-06,651.0,95.0
2021-02-07,669.0,144.0
