date,England,Scotland
2020-09-01,1.2,0.7569501789154968
2020-09-02,1.3,0.4881450488145049
2020-09-03,1.4,0.5545286506469501
2020-09-04,1.5,0.9033176393299026
2020-09-05,1.6,1.0372646945831734
2020-09-06,1.7,1.2162015419698122
2020-09-07,1.7,1.3029582889453413
2020-09-08,1.8,0.9831889964340295
2020-09-09,1.8,1.262115612579318
2020-09-10,1.8,1.0521984481542441
2020-09-11,1.8,1.5035818310635283
2020-09-12,1.8,1.3596491228070176
2020-09-13,1.7,1.4697044200404306
2020-09-14,1.7,0.6450572488308337
2020-09-15,1.7,1.7512006559681388
2020-09-16,1.8,2.2132955261499685
2020-09-17,1.8,1.6789538825808537
2020-09-18,2.0,1.3071895424836601
2020-09-19,2.1,2.8446843853820596
2020-09-20,2.3,1.5913516417108708
2020-09-21,2.5,2.3427967135768326
2020-09-22,2.7,3.2407777866688003
2020-09-23,2.8,4.332552693208431
2020-09-24,3.0,3.267803671396954
2020-09-25,3.1,3.456110978234872
2020-09-26,3.2,4.269893823495833
2020-09-27,3.4,2.0721887493665183
2020-09-28,3.7,1.951407635942923
2020-09-29,4.0,6.467851422469682
2020-09-30,4.3,4.5364386717000444
2020-10-01,4.7,4.931545124336407
2020-10-02,5.0,4.734326679786337
2020-10-03,5.2,3.770773121387283
2020-10-04,5.4,5.711650347665674
2020-10-05,5.8,4.953764861294584
2020-10-06,6.1,6.189251000571756
2020-10-07,6.3,6.549815498154982
2020-10-08,6.5,5.873590125558629
2020-10-09,6.5,7.030174695606141
2020-10-10,6.6,5.583807973962571
2020-10-11,6.7,5.7263344800799025
2020-10-12,6.9,8.119131907034017
2020-10-13,7.0,7.275328258315025
2020-10-14,7.1,6.924882629107981
2020-10-15,7.2,8.404755322090129
2020-10-16,7.2,6.330436434439854
2020-10-17,7.3,8.661939160978196
2020-10-18,7.4,2.36843771768729
2020-10-19,7.8,6.436170212765957
2020-10-20,8.1,11.356064365208763
2020-10-21,8.3,9.734513274336283
2020-10-22,8.5,9.173957175310552
2020-10-23,8.6,8.025665299253182
2020-10-24,8.7,8.73011534466736
2020-10-25,8.8,7.949628314656606
2020-10-26,9.0,7.0867032407669255
2020-10-27,9.2,8.726593945050459
2020-10-28,9.3,6.835908390878831
2020-10-29,9.2,7.07299552412002
2020-10-30,9.2,5.95513690428674
2020-10-31,9.2,6.212931453573165
2020-11-01,9.2,7.0239698357123626
2020-11-02,9.2,9.612263300270515
2020-11-03,9.2,10.31103919453434
2020-11-04,9.1,7.9285014691478946
2020-11-05,9.1,7.5677690791926295
2020-11-06,9.0,5.451193820224719
2020-11-07,9.0,6.335177438942114
2020-11-08,9.1,7.324859248940739
2020-11-09,9.3,9.094868891018383
2020-11-10,9.5,9.45804362320221
2020-11-11,9.7,6.530593772628531
2020-11-12,9.7,6.07000830310711
2020-11-13,9.8,5.667716243748842
2020-11-14,9.8,5.783632590453848
2020-11-15,9.7,7.206918641896221
2020-11-16,9.5,8.302784107797484
2020-11-17,9.4,9.744996988153403
2020-11-18,9.0,6.711100896345668
2020-11-19,8.7,4.634092900964067
2020-11-20,8.3,4.826712440738924
2020-11-21,8.0,5.850971296027834
2020-11-22,7.7,5.395646867371847
2020-11-23,7.4,8.606777837547067
2020-11-24,7.2,8.563096500530222
2020-11-25,6.9,6.786286446651714
2020-11-26,6.6,4.7121293080416775
2020-11-27,6.5,4.270806253945854
2020-11-28,6.4,4.43379547780776
2020-11-29,6.4,5.1918338613164385
2020-11-30,6.4,6.663678470043329
2020-12-01,6.4,7.331850602040034
2020-12-02,6.3,4.542257891035453
2020-12-03,6.3,4.269431631914002
2020-12-04,6.3,4.220791305318793
2020-12-05,6.3,4.53119722047966
2020-12-06,6.4,5.192697768762677
2020-12-07,6.6,6.718166825796372
2020-12-08,6.8,5.54568778369844
2020-12-09,7.0,4.6387354618528
2020-12-10,7.2,4.668482424036088
2020-12-11,7.4,4.6421120205424495
2020-12-12,7.6,5.224297059454819
2020-12-13,7.9,5.175214666976097
2020-12-14,8.4,7.632398753894081
2020-12-15,8.9,7.449398873839598
2020-12-16,9.3,5.8589511754068715
2020-12-17,9.5,4.38268305718867
2020-12-18,9.8,4.216983866293112
2020-12-19,9.8,4.002010429100961
2020-12-20,9.9,5.109209960330737
2020-12-21,10.1,6.046130262735732
2020-12-22,10.4,7.489640354018519
2020-12-23,10.6,4.9754994346023365
2020-12-24,10.9,5.345866819747417
2020-12-25,11.3,4.278389235442045
2020-12-26,12.3,8.188955940561936
2020-12-27,13.4,12.277344325040483
2020-12-28,15.2,12.15557319423971
2020-12-29,17.0,14.373369066929968
2020-12-30,18.1,11.317310617584424
2020-12-31,18.3,10.075985156388056
2021-01-01,18.3,9.702256913785186
2021-01-02,18.1,10.796699454570883
2021-01-03,18.1,15.171975992613113
2021-01-04,18.2,15.03982621288921
2021-01-05,17.9,14.845113438045377
2021-01-06,17.5,10.520828396758446
2021-01-07,16.8,11.314247571015352
2021-01-08,16.2,8.13191705889836
2021-01-09,15.7,8.724195506982392
2021-01-10,15.3,10.010492178557802
2021-01-11,14.9,11.511562323745064
2021-01-12,14.5,11.9769366900725
2021-01-13,14.4,10.165585524069648
2021-01-14,14.3,8.317245183404909
2021-01-15,14.2,7.491698156418184
2021-01-16,14.1,8.414904993008143
2021-01-17,14.0,9.541092519685039
2021-01-18,14.0,12.253648262374004
2021-01-19,13.9,11.07405442279997
2021-01-20,13.7,7.497252315905166
2021-01-21,13.3,6.960140637893302
2021-01-22,12.9,6.885698932985338
2021-01-23,12.6,9.253175109106065
