date,England,Scotland
2021-02-14,5.5,7.321842410196987
2021-02-15,5.5,6.989842099969828
2021-02-16,5.4,6.040637012630423
2021-02-17,5.3,5.151378219611387
2021-02-18,5.2,3.8345864661654137
2021-02-19,5.1,4.377771081744221
2021-02-20,5.0,4.60215270093552
2021-02-21,4.9,5.5249234196602615
2021-02-22,4.8,6.618658467513552
2021-02-23,4.6,4.8468592102800825
2021-02-24,4.4,3.949997874059271
2021-02-25,4.2,3.664240107365082
2021-02-26,4.0,3.302302792748653
2021-02-27,3.8,3.084374203415753
2021-02-28,3.6,3.7989016588348523
2021-03-01,3.4,4.5381687036666
2021-03-02,3.1,4.436953979500585
2021-03-03,3.0,2.6090166960659635
2021-03-04,2.8,2.455203656514177
2021-03-05,2.7,3.0524775245661715
