,% not vaccinated
Bangladeshi,11.680517082179131
Chinese,21.028744326777606
White British*,4.496232565262092
Indian,10.406940896679295
Irish,9.101593105249417
Pakistani,18.730489073881373
Black,29.668607254814148
Total population,7.942529501431627
