date,England,London,Kent and Medway
2020-09-01,16.078324072248265,15.800064025965643,6.074906282474546
2020-09-02,18.70770745643914,17.69696436806604,7.203871166828222
2020-09-03,21.08836538536872,19.013636370229847,7.795233725299194
2020-09-04,23.234510742194793,20.50884016929722,8.601637214123247
2020-09-05,25.277612696126894,21.970569256445174,8.655397446711518
2020-09-06,27.20345836400724,22.773962342511226,9.945643028830006
2020-09-07,31.120884284372707,25.53004695721004,10.537005587300978
2020-09-08,33.03784690027944,25.853635839097755,10.967087448007142
2020-09-09,33.45535034303948,25.965218212162487,10.48324535471271
2020-09-10,34.22995247513895,26.46733889095377,10.59076581988925
2020-09-11,34.704307450530145,26.210699432904892,10.321964656947896
2020-09-12,34.745169489608784,25.764369940645974,10.268204424359626
2020-09-13,34.126909072244985,24.72665387114399,8.332836051181896
2020-09-14,33.12312419922617,22.896702952882432,7.956514423064005
2020-09-15,33.18885878383094,22.070993392203434,7.956514423064005
2020-09-16,34.78247830789798,21.501923289573313,7.741473492710924
2020-09-17,36.2695012082816,20.73200491542668,7.472672329769573
2020-09-18,38.78873474799962,21.334549729976217,7.311391632004763
2020-09-19,42.285104004815594,22.539639359075295,8.386596283770169
2020-09-20,47.46214669504007,25.864794076404227,9.623081633300387
2020-09-21,50.66182201593721,27.30420668893923,11.020847680595415
2020-09-22,54.783558131695884,30.104924252863935,12.633654658243522
2020-09-23,58.594387428377935,34.17768086972655,13.923900240362007
2020-09-24,62.774751687162485,37.25735436631307,14.945344659539142
2020-09-25,65.92468191700736,39.68985009912417,15.321666287657035
2020-09-26,68.53985241804045,42.03307993348349,15.214145822480496
2020-09-27,71.02533036025874,43.3497519356473,15.482946985421847
2020-09-28,77.92390852297035,46.84228021257333,16.773192567540335
2020-09-29,83.89687267003097,48.83960469043198,16.450631172010713
2020-09-30,92.11369574562747,52.51066476426158,17.57959605636439
2020-10-01,101.02339687516616,57.7773527729168,18.97736210365942
2020-10-02,110.84805235798747,62.60886952661958,22.90185908260315
2020-10-03,118.05220750859155,65.30916295478603,25.21354908389877
2020-10-04,124.81398667090943,68.55621001096965,26.93387652672342
2020-10-05,134.5142794261001,74.65976581761035,29.94444955166656
2020-10-06,144.4206589870787,79.87066263973321,32.73998164625661
2020-10-07,152.74230207596386,84.51248935922595,36.23439676449418
2020-10-08,159.79011551183225,89.04273370565396,39.94385281308483
2020-10-09,162.3413280386553,92.47947079604762,40.80401653449715
2020-10-10,163.13191966430728,93.38328801787193,40.26641420861444
2020-10-11,162.82101284523065,92.50178727066057,39.94385281308482
2020-10-12,166.65671468743884,95.67072666569888,39.6212914175552
2020-10-13,168.69804003097622,98.53839365346242,42.09426211661563
2020-10-14,170.9276860763543,100.97088938627351,42.739384907674875
2020-10-15,170.89037725806512,103.6600245771335,43.81458955944028
2020-10-16,173.6387935387025,107.10791990483362,45.104835141558766
2020-10-17,177.5579960694627,109.74126390916123,47.5778058406192
2020-10-18,181.46831554824928,115.93408561425372,49.72821514415001
2020-10-19,191.9769660330392,124.4366624417861,55.48056003109493
2020-10-20,202.43764803717156,134.35633540724052,60.91034352251023
2020-10-21,211.413083751315,142.55763982749812,67.4690918982792
2020-10-22,219.1697647346781,147.63463780194328,71.23230817945813
2020-10-23,225.49805096068343,151.54002085920882,76.55457120569689
2020-10-24,227.5606956289575,155.15528974650604,81.33923190605293
2020-10-25,229.88627863565063,155.1329732718931,84.18852423323126
2020-10-26,231.03574556103678,157.25303836012293,90.6397521438237
2020-10-27,229.55760571262678,154.7424349661665,95.90825493747418
2020-10-28,227.2977572905384,150.3795641793356,100.5853951726537
2020-10-29,227.95154991579668,148.54961326107406,106.44526052477516
2020-10-30,230.66443398853957,147.07672593661962,110.58479843407197
2020-10-31,232.15145688892318,146.5857634951348,113.2190498308972
2020-11-01,232.50500235747316,145.57036390024578,118.59507308972422
2020-11-02,241.68119504622035,149.84396878862492,132.73401426043932
2020-11-03,244.8897534190911,150.29029828088386,139.4540433339731
2020-11-04,245.69988775908504,151.17179902809522,146.1203121749186
2020-11-05,247.28107101038904,152.05329977530658,154.56066869127704
2020-11-06,249.36503500339975,154.70896025424713,162.40966264916452
2020-11-07,253.39438737863279,157.6101019539301,174.82827637705495
2020-11-08,261.57212502554535,163.81408189632904,188.96721754777005
2020-11-09,261.89191489659555,165.7332987130424,201.9234336015432
2020-11-10,265.75071267393514,172.38360814770024,214.28828709684538
2020-11-11,272.7754301746721,182.01316694318638,233.48069013085785
2020-11-12,274.70482906334195,190.3706866857346,255.0923036313425
2020-11-13,276.1847455221467,196.88709727271478,279.06936736571106
2020-11-14,275.1400986100493,199.92213782007542,286.4345192303041
2020-11-15,268.4849160714148,200.35730907502787,289.44509225524723
2020-11-16,260.69447949055194,200.21225199004374,299.01441365595934
2020-11-17,253.34464228758054,198.34882635986276,304.01411528666847
2020-11-18,241.9441333846394,193.2941448600305,309.60517947584856
2020-11-19,230.48144311788295,185.94086647506487,303.15395156525614
2020-11-20,218.10735171863334,179.39098117616527,298.9068931907828
2020-11-21,208.4710169376527,174.44788204939778,299.01441365595934
2020-11-22,201.04300887731347,170.89956258593938,296.64896342207544
2020-11-23,187.6811220985975,163.31196121753777,302.1862673786673
2020-11-24,176.45827423512873,158.73708392188388,306.7558871486703
2020-11-25,168.83128581058045,156.31574642637926,309.4438987780838
2020-11-26,163.08395118364973,155.0325491361349,313.90599808291023
2020-11-27,158.78810724920814,156.00331578179802,321.05610901715016
2020-11-28,156.26887370949012,157.79979198814016,326.8622141366834
