date,20-24,30-34,40-44,50-54,60+
2021-01-01,946.3,875.3,722.5,661.7,336.6
2021-01-02,1242.1,1162.9,878.4,817.1,392.5
2021-01-03,1574.7,1354.5,1048.4,972.5,433.0
2021-01-04,1826.1,1591.0,1246.7,1072.8,490.0
2021-01-05,2084.9,1706.0,1360.1,1153.0,530.5
2021-01-06,2388.0,1744.3,1438.0,1213.2,556.7
2021-01-07,2498.9,1808.2,1537.2,1308.4,594.7
2021-01-08,2779.8,1904.0,1586.7,1423.7,648.2
2021-01-09,2624.6,1757.1,1494.7,1373.6,669.6
2021-01-10,2417.6,1680.4,1480.5,1283.3,673.2
2021-01-11,2284.5,1661.2,1466.3,1343.5,685.1
2021-01-12,2025.7,1565.4,1395.5,1303.4,682.7
2021-01-13,1641.3,1444.0,1310.5,1233.2,683.9
2021-01-14,1515.6,1316.2,1268.0,1178.1,668.5
2021-01-15,1264.2,1201.2,1239.6,1092.8,653.0
2021-01-16,1145.9,1124.5,1204.2,1042.7,623.3
2021-01-17,1049.8,1092.6,1062.5,1002.6,582.8
2021-01-18,938.9,888.1,956.3,957.5,548.3
2021-01-19,857.6,862.6,892.5,902.3,515.0
2021-01-20,842.8,817.8,758.0,832.2,484.1
2021-01-21,746.7,747.6,680.0,802.1,455.6
2021-01-22,746.7,747.6,651.7,807.1,430.6
2021-01-23,695.0,741.2,609.2,757.0,394.9
2021-01-24,650.6,664.5,545.4,681.8,388.9
2021-01-25,621.0,626.2,467.5,611.6,373.5
2021-01-26,584.1,594.2,389.6,521.4,335.4
2021-01-27,584.1,581.4,446.3,586.5,311.6
2021-01-28,576.7,581.4,410.9,596.6,304.5
2021-01-29,547.1,575.0,354.2,576.5,297.4
2021-01-30,547.1,498.4,354.2,571.5,297.4
2021-01-31,539.7,492.0,361.3,601.6,278.3
2021-02-01,532.3,492.0,354.2,546.4,247.4
2021-02-02,539.7,428.1,375.4,561.5,235.5
2021-02-03,524.9,421.7,375.4,521.4,237.9
2021-02-04,510.1,421.7,382.5,471.2,228.4
2021-02-05,480.6,408.9,375.4,456.2,226.0
2021-02-06,495.3,421.7,347.1,446.2,218.9
2021-02-07,458.4,402.5,361.3,401.0,210.5
2021-02-08,428.8,396.1,354.2,376.0,209.3
2021-02-09,354.9,383.4,325.8,335.9,183.2
2021-02-10,310.5,370.6,247.9,275.7,166.5
2021-02-11,280.9,357.8,233.8,230.6,154.6
2021-02-12,251.4,325.9,233.8,175.5,127.3
2021-02-13,199.6,306.7,226.7,145.4,118.9
2021-02-14,207.0,306.7,191.3,150.4,114.2
2021-02-15,184.8,281.1,177.1,130.3,114.2
2021-02-16,199.6,262.0,177.1,135.4,108.2
2021-02-17,177.4,249.2,170.0,135.4,102.3
2021-02-18,170.0,230.0,170.0,125.3,84.4
2021-02-19,199.6,223.6,177.1,120.3,82.1
2021-02-20,221.8,210.8,205.4,125.3,76.1
2021-02-21,192.2,204.5,226.7,120.3,73.7
2021-02-22,207.0,185.3,198.3,120.3,70.2
2021-02-23,184.8,159.7,226.7,100.3,71.4
2021-02-24,199.6,134.2,255.0,85.2,67.8
2021-02-25,170.0,127.8,233.8,80.2,69.0
2021-02-26,133.1,115.0,233.8,75.2,60.7
2021-02-27,110.9,121.4,198.3,65.2,57.1
2021-02-28,118.3,95.8,162.9,70.2,59.5
2021-03-01,103.5,70.3,141.7,65.2,50.0
2021-03-02,103.5,89.5,85.0,90.2,47.6
2021-03-03,88.7,83.1,49.6,80.2,44.0
2021-03-04,103.5,89.5,63.8,80.2,45.2
2021-03-05,118.3,83.1,35.4,85.2,51.1
2021-03-06,103.5,83.1,28.3,85.2,55.9
2021-03-07,88.7,89.5,28.3,80.2,54.7
2021-03-08,96.1,108.6,28.3,90.2,48.8
2021-03-09,88.7,115.0,28.3,85.2,45.2
2021-03-10,81.3,102.2,35.4,80.2,46.4
2021-03-11,59.1,95.8,28.3,80.2,45.2
2021-03-12,44.4,108.6,56.7,90.2,39.3
2021-03-13,59.1,108.6,77.9,85.2,40.4
2021-03-14,81.3,108.6,70.8,75.2,36.9
2021-03-15,59.1,102.2,70.8,55.1,35.7
2021-03-16,44.4,89.5,85.0,40.1,38.1
2021-03-17,51.8,89.5,92.1,40.1,34.5
2021-03-18,59.1,95.8,92.1,50.1,29.7
2021-03-19,51.8,70.3,70.8,40.1,28.5
2021-03-20,37.0,70.3,49.6,45.1,27.4
2021-03-21,22.2,76.7,77.9,50.1,25.0
2021-03-22,29.6,70.3,77.9,50.1,27.4
2021-03-23,29.6,57.5,70.8,40.1,26.2
2021-03-24,22.2,57.5,63.8,40.1,22.6
2021-03-25,14.8,38.3,56.7,25.1,22.6
2021-03-26,22.2,38.3,49.6,30.1,25.0
2021-03-27,22.2,31.9,70.8,25.1,20.2
2021-03-28,22.2,19.2,56.7,25.1,20.2
2021-03-29,14.8,19.2,56.7,30.1,19.0
2021-03-30,22.2,31.9,63.8,30.1,16.7
2021-03-31,22.2,31.9,63.8,30.1,14.3
2021-04-01,22.2,31.9,85.0,25.1,14.3
2021-04-02,14.8,31.9,85.0,25.1,13.1
2021-04-03,14.8,25.6,63.8,25.1,15.5
2021-04-04,7.4,31.9,49.6,20.1,14.3
2021-04-05,7.4,25.6,49.6,15.0,14.3
2021-04-06,7.4,12.8,42.5,45.1,15.5
2021-04-07,22.2,6.4,49.6,50.1,17.8
2021-04-08,22.2,6.4,28.3,60.2,13.1
2021-04-09,22.2,19.2,28.3,50.1,11.9
2021-04-10,22.2,25.6,28.3,45.1,14.3
2021-04-11,22.2,19.2,42.5,45.1,14.3
2021-04-12,29.6,25.6,35.4,50.1,14.3
