date,New cases by specimen date
2021-01-04,17.073152861947342
2021-01-05,3.747267286075099
2021-01-06,3.936070357779877
2021-01-07,6.215045442762088
2021-01-08,10.521453962079525
2021-01-09,-4.6901039286979325
2021-01-10,-4.455039290431034
2021-01-11,-1.7309074663087236
2021-01-12,-1.5871514824662767
2021-01-13,-1.0516532405696777
2021-01-14,-0.6492993890330335
2021-01-15,0.05125645140623826
2021-01-16,-1.0354466579741997
2021-01-17,-0.8232530159097793
2021-01-18,-1.0917256862564406
2021-01-19,-0.8506661691530483
2021-01-20,-1.2791288632313567
2021-01-21,-1.7253060498400519
2021-01-22,-2.0253728512361175
2021-01-23,-2.2620769346336367
2021-01-24,-4.524520535640605
2021-01-25,-1.8050733208320813
2021-01-26,-1.5177847641605997
2021-01-27,-0.6204109654701117
2021-01-28,-0.07401425992424089
2021-01-29,-0.5170469616651271
2021-01-30,-0.13171506189684073
2021-01-31,1.8053649236352203
2021-02-01,-2.324173714796198
2021-02-02,-2.5776848927803897
2021-02-03,-2.1492698746121297
2021-02-04,-2.362507620719964
2021-02-05,-2.637263150457458
2021-02-06,-2.7831894159289616
2021-02-07,-2.379301945468274
2021-02-08,-3.431419518499998
2021-02-09,-3.508542081489678
2021-02-10,-3.573519451498989
2021-02-11,-3.2952106987058136
2021-02-12,-2.276182935584642
2021-02-13,-2.775835475498389
2021-02-14,-2.068989939242644
2021-02-15,1.4961302892673811
2021-02-16,1.4402456504267416
2021-02-17,0.7146508835985862
2021-02-18,1.3072332008978382
2021-02-19,0.6815267604978149
2021-02-20,1.4678481657184936
2021-02-21,1.1517187897139123
2021-02-22,-1.7199736041300977
2021-02-23,-2.2936285357000856
2021-02-24,-2.535930372053382
2021-02-25,-3.722358963497532
2021-02-26,-4.552924293428396
2021-02-27,-5.163105097752464
2021-02-28,-5.15820605176373
2021-03-01,-4.710351336197768
2021-03-02,-2.804185389980366
2021-03-03,-2.990188832299766
2021-03-04,-2.2048352117175773
2021-03-05,-1.1384372019632767
2021-03-06,0.5107784095606271
2021-03-07,0.1546854423629021
2021-03-08,1.439856550517357
2021-03-09,0.9976189201140996
2021-03-10,2.045290024295564
2021-03-11,2.0117341848755133
2021-03-12,2.605414855102373
2021-03-13,1.3303147719691226
2021-03-14,2.2030574720042013
2021-03-15,1.6688530925780114
2021-03-16,0.7427690097333693
2021-03-17,1.429091162900045
2021-03-18,1.3068223030456827
2021-03-19,0.5195423763749921
2021-03-20,1.394457450036709
2021-03-21,5.145448992818081
2021-03-22,0.46685724461890843
2021-03-23,0.11231319086466332
2021-03-24,1.9005020035746247
2021-03-25,1.19661738139019
2021-03-26,-0.2274498989393225
2021-03-27,-0.43320190774581036
2021-03-28,0.11025655008264071
2021-03-29,-4.588903070390335
2021-03-30,-3.787494513991583
2021-03-31,-5.161016741117037
2021-04-01,-4.819504992962223
2021-04-02,-5.650894797743187
2021-04-03,-4.051573932567385
2021-04-04,-9.225059497904207
2021-04-05,-5.159264203516147
2021-04-06,-1.0425934791308191
2021-04-07,-1.8746747762775178
2021-04-08,-1.221819585316967
2021-04-09,1.318103556621184
2021-04-10,-0.2069143632360278
2021-04-11,0.444635586610734
2021-04-12,1.3303216196468808
2021-04-13,-3.391223365211544
2021-04-14,-2.838648952132572
2021-04-15,-3.6375144081647344
2021-04-16,-2.6463728435053064
2021-04-17,-3.550283993459812
2021-04-18,3.4173093723098455
2021-04-19,1.4695891264567247
2021-04-20,2.1704434728571314
2021-04-21,2.8368077669433758
2021-04-22,2.4618820667810932
2021-04-23,0.14678335465568107
2021-04-24,0.5317671020436541
2021-04-25,-1.2352211311099939
2021-04-26,1.0167357266961794
2021-04-27,0.07368566861508619
2021-04-28,1.1175293902341203
2021-04-29,1.0691204047292093
2021-04-30,0.7260831234454095
2021-05-01,1.0360284554179136
2021-05-02,-3.4117829790483505
2021-05-03,-1.0910299260273046
2021-05-04,4.224878856160823
2021-05-05,2.0690609545967047
2021-05-06,2.37084610755809
2021-05-07,3.1188539850716626
2021-05-08,3.2467184920957552
2021-05-09,8.726737067791717
2021-05-10,6.3639248006715565
2021-05-11,0.8568341325601254
2021-05-12,1.0922014308178858
2021-05-13,1.5869578257772312
2021-05-14,1.8239307216068927
2021-05-15,2.5169778291452096
2021-05-16,-1.222150733672321
2021-05-17,2.6232363178198908
2021-05-18,4.755578765035777
2021-05-19,4.600156951077379
2021-05-20,3.9831812281267287
2021-05-21,4.8227980698262725
2021-05-22,4.674427615778962
2021-05-23,4.46871737350924
2021-05-24,3.8134369373069146
2021-05-25,4.385318435359965
2021-05-26,6.542725525188989
2021-05-27,7.424405957602106
2021-05-28,7.651625122811524
2021-05-29,7.604954035112422
2021-05-30,6.165455334314266
2021-05-31,3.0396257895696577
2021-06-01,8.209530781816541
2021-06-02,8.22583066643553
2021-06-03,8.942588858618018
2021-06-04,8.612680747842521
2021-06-05,8.16396050886721
2021-06-06,9.753170233910554
2021-06-07,12.691228782756168
2021-06-08,7.119525734724981
2021-06-09,5.500233293791027
2021-06-10,5.151385547662838
2021-06-11,5.330166008115259
2021-06-12,5.497915318732933
2021-06-13,5.044236246991033
2021-06-14,5.386542519303135
2021-06-15,6.05765802446348
2021-06-16,5.857581941288762
2021-06-17,6.087293093177881
2021-06-18,5.868866058570915
2021-06-19,5.8703796568804085
2021-06-20,6.723511378947052
2021-06-21,9.007115455536576
2021-06-22,9.37714793522643
2021-06-23,9.76656874563741
2021-06-24,10.081069483977968
2021-06-25,10.634137958521368
2021-06-26,11.742020459086074
2021-06-27,10.867122129758537
