date,Cases
2020-09-01,23.237597911227148
2020-09-02,36.60637381567615
2020-09-03,43.79746835443037
2020-09-04,48.2258064516129
2020-09-05,56.14591593973037
2020-09-06,63.19999999999999
2020-09-07,79.93705743509048
2020-09-08,63.48870056497176
2020-09-09,46.53215636822195
2020-09-10,38.96713615023475
2020-09-11,27.584330794341682
2020-09-12,17.013712544438796
2020-09-13,8.4313725490196
2020-09-14,-10.450371665937908
2020-09-15,-14.686825053995678
2020-09-16,-17.211703958691913
2020-09-17,-21.5793918918919
2020-09-18,-18.464818763326228
2020-09-19,-12.239583333333337
2020-09-20,4.88245931283906
2020-09-21,19.53125
2020-09-22,36.556962025316466
2020-09-23,59.147609147609145
2020-09-24,79.69843834141088
2020-09-25,85.82635983263597
2020-09-26,86.05341246290801
2020-09-27,67.28448275862068
2020-09-28,71.3235294117647
2020-09-29,62.21727845754541
2020-09-30,53.69039843239713
2020-10-01,55.07941264608931
2020-10-02,57.83844638333802
2020-10-03,55.50239234449761
2020-10-04,58.206647771193
2020-10-05,59.51359084406296
2020-10-06,63.63428571428571
2020-10-07,60.90097747556311
2020-10-08,54.12560386473431
2020-10-09,47.71754636233951
2020-10-10,42.991452991452995
2020-10-11,34.96742671009771
2020-10-12,28.086696562032888
2020-10-13,23.243469758346148
2020-10-14,19.440042260961434
2020-10-15,16.474423269809435
2020-10-16,15.873973925639785
2020-10-17,17.56126718469815
2020-10-18,25.340895378303372
2020-10-19,30.07352083090209
2020-10-20,36.472855037968955
2020-10-21,41.264927023440954
2020-10-22,42.40043057050591
2020-10-23,41.473070111469944
2020-10-24,41.417531014846446
2020-10-25,33.850004813709454
2020-10-26,26.44895029607033
2020-10-27,15.148243501370317
2020-10-28,5.439887288666245
2020-10-29,0.5820545770655272
2020-10-30,-3.0044182621502213
2020-10-31,-5.623067519953984
2020-11-01,-6.214486082140547
2020-11-02,-4.775081595004971
2020-11-03,-2.9210241615578836
2020-11-04,0.527058124860802
2020-11-05,2.3823838869682756
2020-11-06,5.238384451867595
2020-11-07,7.588571428571433
2020-11-08,12.516297262059982
2020-11-09,10.602786677594821
2020-11-10,14.702823179791968
2020-11-11,20.40319007532123
2020-11-12,25.16332672685899
2020-11-13,27.20386668590391
2020-11-14,26.818214007506548
2020-11-15,22.35021470929044
2020-11-16,20.890595526812184
2020-11-17,15.143467841181412
2020-11-18,6.2128181539405025
2020-11-19,-2.2696616034250217
2020-11-20,-8.818692224805758
2020-11-21,-12.70940361849453
2020-11-22,-14.67409470752089
2020-11-23,-18.461967121760935
2020-11-24,-19.980874163244643
2020-11-25,-19.0957385379374
2020-11-26,-16.598655784925587
2020-11-27,-12.999129244930963
2020-11-28,-9.474155578300925
2020-11-29,-6.496474275267694
2020-11-30,-0.07517769272826769
2020-12-01,4.942003514938498
2020-12-02,10.434658482620796
2020-12-03,14.009209958267377
2020-12-04,18.408635973691734
2020-12-05,21.532047205144522
2020-12-06,25.45213323091964
2020-12-07,29.83380069762671
2020-12-08,35.5037513397642
2020-12-09,41.23311575001616
2020-12-10,54.04859577153675
2020-12-11,62.77848215902917
2020-12-12,70.6244912199093
2020-12-13,80.47422909941
2020-12-14,95.03239740820734
2020-12-15,108.30037571682816
2020-12-16,117.965496728138
2020-12-17,116.1456839690278
2020-12-18,115.3035866622158
2020-12-19,106.30111777535443
2020-12-20,97.11941771527263
2020-12-21,85.85203792237257
2020-12-22,73.88631778806219
2020-12-23,58.91627477326167
2020-12-24,42.09329213972972
2020-12-25,18.071251378169784
2020-12-26,20.959082874935998
2020-12-27,21.233219638889757
2020-12-28,8.866701546331823
2020-12-29,11.037711384388604
2020-12-30,13.6429090428694
