date,under 70,80+
2020-12-01,29.823321554770317,32.30486309767062
2020-12-02,27.63250883392226,31.324070290151205
2020-12-03,27.915194346289756,31.957498978340826
2020-12-04,27.208480565371023,32.836125868410306
2020-12-05,26.925795053003537,32.61136085002043
2020-12-06,26.57243816254417,31.875766244380877
2020-12-07,25.795053003533567,32.161830813240705
2020-12-08,26.219081272084804,32.65222721700041
2020-12-09,27.56183745583039,33.08132407029015
2020-12-10,26.855123674911663,32.693093583980385
2020-12-11,28.26855123674912,32.57049448304046
2020-12-12,26.78445229681979,33.57172047404986
2020-12-13,25.300353356890458,34.30731507968942
2020-12-14,26.855123674911663,34.654679199019206
2020-12-15,26.78445229681979,35.08377605230895
2020-12-16,26.28975265017668,34.96117695136902
2020-12-17,26.64310954063604,36.10543522680834
2020-12-18,26.007067137809187,36.841029832447894
2020-12-19,27.420494699646646,37.06579485083776
2020-12-20,28.763250883392228,37.41315897016755
2020-12-21,28.763250883392228,38.8434818144667
2020-12-22,30.247349823321557,39.70167552104618
2020-12-23,31.37809187279152,41.45892930118512
2020-12-24,32.36749116607774,41.74499387004495
2020-12-25,34.416961130742045,42.46015529219452
2020-12-26,36.60777385159011,44.156109521863506
2020-12-27,39.01060070671378,45.30036779730282
2020-12-28,40.14134275618375,46.3220269718022
2020-12-29,41.62544169611307,47.81364936657131
2020-12-30,44.24028268551237,49.18267266040049
2020-12-31,47.84452296819788,51.06252554147937
2021-01-01,50.17667844522968,51.87985288107888
2021-01-02,51.1660777385159,52.90151205557826
2021-01-03,53.003533568904594,53.841438496117696
2021-01-04,57.526501766784456,55.53739272578668
2021-01-05,62.40282685512367,57.74417654270536
2021-01-06,65.65371024734984,60.27789129546384
2021-01-07,66.92579505300354,63.30200245198202
2021-01-08,71.23674911660778,66.32611360850021
2021-01-09,76.74911660777384,68.71679607682879
2021-01-10,79.7173144876325,73.35512872905599
2021-01-11,81.34275618374558,76.66530445443401
2021-01-12,81.97879858657244,80.20024519820188
2021-01-13,87.13780918727915,82.83612586841029
2021-01-14,90.10600706713781,85.39027380465876
2021-01-15,91.23674911660777,88.37351859419698
2021-01-16,92.08480565371025,91.683694319575
2021-01-17,94.20494699646643,93.64527993461381
2021-01-18,98.2332155477032,95.50469963220269
2021-01-19,99.08127208480565,97.87494891704128
2021-01-20,97.80918727915196,99.57090314671025
2021-01-21,99.08127208480565,99.91826726604005
2021-01-22,100.0,100.0
2021-01-23,97.95053003533569,98.67184307315081
2021-01-24,97.24381625441697,97.71148344912137
2021-01-25,94.34628975265018,96.48549243972211
2021-01-26,93.14487632508833,92.6440539436044
2021-01-27,91.02473498233216,90.86636697997548
2021-01-28,88.90459363957598,89.57907642010626
2021-01-29,86.21908127208481,87.41315897016754
2021-01-30,83.88692579505302,85.41070698814876
2021-01-31,81.55477031802121,81.91663261136085
2021-02-01,78.4452296819788,78.68818961994279
2021-02-02,76.74911660777384,76.07274213322437
2021-02-03,74.91166077738515,72.29260318757663
2021-02-04,70.6713780918728,67.57253780138946
2021-02-05,68.0565371024735,64.46669391091132
2021-02-06,67.06713780918729,60.584389047813644
2021-02-07,65.2296819787986,57.29464650592563
2021-02-08,63.46289752650176,54.86309767061708
2021-02-09,60.63604240282685,52.26808336738864
2021-02-10,58.233215547703175,49.36657131181039
2021-02-11,56.6077738515901,47.40498569677156
2021-02-12,54.06360424028269,44.094809971393545
2021-02-13,51.660777385159015,42.35798937474459
2021-02-14,48.8339222614841,40.80506742950552
2021-02-15,47.561837455830386,38.90478136493666
2021-02-16,45.37102473498233,36.88189619942787
2021-02-17,43.533568904593636,35.10420923579894
2021-02-18,42.68551236749117,33.10175725378014
2021-02-19,41.41342756183745,31.058438904781365
2021-02-20,40.0,29.38291785860237
2021-02-21,39.081272084805654,27.6665304454434
2021-02-22,36.46643109540636,24.805884756845114
2021-02-23,35.97173144876325,22.864732325296284
2021-02-24,33.14487632508834,21.27094401307724
2021-02-25,30.600706713780916,19.922353902738045
2021-02-26,28.409893992932865,18.961994278708623
2021-02-27,27.77385159010601,17.633837351859423
2021-02-28,26.713780918727913,16.326113608500204
2021-03-01,26.501766784452297,15.713118103800575
2021-03-02,24.381625441696116,14.691458929301184
2021-03-03,23.321554770318023,13.445034736411934
2021-03-04,22.47349823321555,12.402942378422557
2021-03-05,21.130742049469966,12.03514507560278
2021-03-06,19.293286219081274,11.442582754393134
2021-03-07,17.73851590106007,10.563955864323663
2021-03-08,16.113074204946994,9.76706170821414
2021-03-09,15.265017667844525,9.39926440539436
2021-03-10,14.911660777385158,8.929301185124643
2021-03-11,14.063604240282684,8.459337964854925
2021-03-12,14.13427561837456,7.5807110747854525
2021-03-13,13.498233215547703,7.294646505925624
2021-03-14,12.791519434628976,6.926849203105845
2021-03-15,11.590106007067137,6.702084184715979
2021-03-16,10.318021201413428,6.395586432366162
2021-03-17,9.540636042402827,6.170821413976299
2021-03-18,9.257950530035336,5.6804250102165925
2021-03-19,7.915194346289753,5.51695954229669
2021-03-20,7.985865724381626,4.965263588067021
2021-03-21,7.34982332155477,5.046996322026972
2021-03-22,7.34982332155477,4.597466285247242
2021-03-23,7.561837455830389,4.127503064977524
2021-03-24,6.8551236749116615,3.5962402942378424
2021-03-25,6.360424028268552,3.3919084593379654
2021-03-26,6.148409893992933,3.0241111565181855
2021-03-27,5.229681978798586,2.6971802206783817
