date,Under 18,18 to 64,65 to 84,85+
2020-03-19,,,,
2020-03-20,,,,
2020-03-21,,,,
2020-03-22,,,,
2020-03-23,,,,
2020-03-24,,,,
2020-03-25,,,,
2020-03-26,1.1986217258829128,35.35983749186795,43.6281625433291,19.81337823892004
2020-03-27,1.0762514097199867,35.119670612656286,44.24485692155874,19.559221056064978
2020-03-28,1.211834503966065,34.29065645467813,44.97270763302446,19.524801408331346
2020-03-29,1.3265141766567872,34.46708326093919,44.48118156138789,19.72522100101613
2020-03-30,1.2682625863547006,34.52010455430857,44.4359439824452,19.775688876891532
2020-03-31,1.1272636125077362,34.84314862342136,44.542283547974385,19.487304216096522
2020-04-01,1.0248201130495043,35.00784862643985,44.7280187029534,19.239312557557245
2020-04-02,0.9489108288525839,35.196220204311906,44.88644598698419,18.96842297985132
2020-04-03,0.9961023588009691,35.31720120293954,45.04582026691968,18.64087617133982
2020-04-04,0.8396142419002773,35.828938183825315,44.99168592536568,18.339761648908727
2020-04-05,0.7643493454664363,35.999961198698294,44.88106560538217,18.354623850453102
2020-04-06,0.7992713658343583,35.85655698932106,44.590768109137926,18.75340353570665
2020-04-07,0.8826982438836185,36.06522769173707,44.218829438983356,18.833244625395942
2020-04-08,0.8523396092221132,36.1393589684073,43.90277436741805,19.10552705495254
2020-04-09,0.9107446623240525,35.428418993494304,43.89453564371379,19.76630070046786
2020-04-10,0.9116118993514171,35.32842890812302,43.13598451083268,20.62397468169288
2020-04-11,0.9569381694452579,35.30696859693116,42.60255914488704,21.133534088736546
2020-04-12,0.924705753311913,34.794623757960935,42.56966519558442,21.711005293142737
2020-04-13,0.8648594288970423,34.518687329112346,42.76570254584948,21.850750696141137
2020-04-14,0.8102237983085541,34.49837841233254,42.64520860259336,22.046189186765552
2020-04-15,0.9033330035850214,34.46065721193389,42.18370364333266,22.452306141148423
2020-04-16,0.8845132404084588,34.76969698652635,41.636167024567115,22.70962274849807
2020-04-17,0.9047096922891705,34.39763530126488,41.72781965836536,22.96983534808059
2020-04-18,0.919085489355343,33.738522689467565,42.15317473639203,23.189217084785064
2020-04-19,0.9548996372181172,33.61483754108933,42.47355755667488,22.95670526501767
2020-04-20,1.0050226883340334,33.504185995401194,42.04295111923383,23.447840197030946
2020-04-21,0.9975320970924332,32.7001716609825,42.2172318629624,24.08506437896267
2020-04-22,0.9805821197561931,31.527383592016868,42.857257539444184,24.634776748782745
2020-04-23,1.0653646148843183,31.08967947589607,43.019831725710496,24.82512418350912
2020-04-24,1.1112543005766589,30.47625750014214,43.1798229476336,25.2326652516476
2020-04-25,1.112185627887409,29.925024620336984,42.81573041320978,26.147059338565835
2020-04-26,1.0538758986078103,29.7129672427245,42.43902810627717,26.79412875239052
2020-04-27,1.0835433780705717,30.043065428155106,42.4345969749207,26.438794218853612
2020-04-28,1.100529613185545,30.061333081006826,42.4138707880392,26.42426651776844
2020-04-29,1.1464974671101456,30.08598948777013,42.29953398709774,26.467979058021985
2020-04-30,1.0611175866914844,30.285967081625206,42.25771040560198,26.39520492608133
2020-05-01,1.0421681928425242,30.632920465698948,42.34644699441892,25.97846434703961
2020-05-02,1.11592295497315,30.948144048168142,42.51490024289321,25.421032753965495
2020-05-03,1.2149820813379912,30.722397292123727,42.412022820897,25.650597805641276
