date,0-19,20-39,40-59,60+
2021-04-01,7.270674197034431,7.597089298578382,6.064635553137256,1.9361575750913254
2021-04-02,6.750111133223092,7.1501450314881865,5.666413167361107,1.8035440425508238
2021-04-03,6.386577423371369,6.831311944404448,5.473129619142926,1.7451940882330028
2021-04-04,5.279843141012134,6.3130877726490064,4.98069364453681,1.6486514365435176
2021-04-05,5.062583349917318,5.905636425711179,4.690282685153717,1.5743878583208368
2021-04-06,4.779715404085949,5.833393279090996,4.632977512566417,1.5616569591969485
2021-04-07,4.451674630403183,5.774635519839914,4.454263076022975,1.544682427031764
2021-04-08,4.231188208747553,5.744775019236905,4.308571959275603,1.540438793990468
2021-04-09,4.152673531767743,5.897930490071691,4.371704776532797,1.5828751244034287
2021-04-10,4.068781137186576,5.891187796387141,4.2949741217125155,1.6178850969941212
2021-04-11,4.0623278760649475,5.931643958494443,4.245439142018409,1.6040932896099092
2021-04-12,3.993493090767581,6.010629798799176,4.258065705469848,1.6178850969941212
2021-04-13,3.892391999862072,5.790047391118885,4.002620614106123,1.5701442252795403
2021-04-14,3.682661013409156,5.563685531708981,3.8345901927908206,1.5414997022507924
2021-04-15,3.5535957909765923,5.2949410262819026,3.620909888228009,1.4842106561932955
2021-04-16,3.4729300269562393,5.096513183565135,3.440252903461268,1.4354088762183908
2021-04-17,3.3374115434020477,4.908681002352661,3.2809639491508085,1.3367444080082576
2021-04-18,3.6396392725983016,4.87689401783978,3.275136304480914,1.3261353254050174
2021-04-19,3.688038731010513,4.824878952273249,3.1721812486461043,1.3271962336653416
2021-04-20,3.7719311255916796,4.855702694831193,3.135272832403437,1.286881719773029
2021-04-21,3.9730577638824247,4.88171022761446,3.1061346090539628,1.289003536293677
2021-04-22,4.025759396375721,4.912533970172404,3.0973931420491208,1.299612618896917
2021-04-23,3.98488874260541,4.865335114380551,3.0099784720006975,1.2571762884839566
2021-04-24,4.003172982450023,4.78827575798569,2.9623860405298896,1.2688462793475206
2021-04-25,3.7837621043146643,4.718922337230315,2.8924543044911513,1.2635417380459004
2021-04-26,3.796668626557921,4.718922337230315,2.8934255786028,1.2136790498106718
2021-04-27,3.7934419959971066,4.5455387853418765,2.864287355253326,1.1839736185215994
2021-04-28,3.8310860192066047,4.468479428947015,2.855545888248484,1.125623664203779
2021-04-29,3.821406127524162,4.375044959318247,2.840976776573746,1.0853091503114662
2021-04-30,3.8041974311998206,4.258492682771019,2.82543639078736,1.06515189336531
2021-05-01,3.7912909089565634,4.2411543275821755,2.815723649670869,1.0248373794729975
2021-05-02,3.5783332919428332,4.061991323964123,2.681687822263287,0.985583773841009
2021-05-03,3.6030707929090746,3.8125116576357594,2.5699912994236356,0.9473910764693444
2021-05-04,3.8084996052809057,3.897276949670107,2.628267746122584,0.9516347095106406
2021-05-05,3.8267838451255187,3.8924607398954283,2.6476932283555668,0.9346601773454564
2021-05-06,3.885938738740444,3.9184682726786937,2.652549598913813,0.92511200300254
2021-05-07,3.9623023286797117,3.977226031929776,2.6700325329234973,0.912381103878652
2021-05-08,4.013928417652736,4.005160048622913,2.6603197918070056,0.9240510947422163
2021-05-09,4.281738754200306,4.192992229835387,2.8273789390106585,0.9410256269074003
2021-05-10,4.434465934078841,4.452104315713108,2.8963394009377477,0.9293556360438362
2021-05-11,4.27636103659895,4.395273040371898,2.8264076648990093,0.9145029203993
2021-05-12,4.1290115743217735,4.330735829391202,2.783671603986447,0.8975283882341158
2021-05-13,4.066630050146033,4.301838570743128,2.74579191363213,0.8826756725895796
2021-05-14,4.122558313200145,4.234411633897625,2.7079122232778134,0.8529702413005072
2021-05-15,4.166655597531271,4.252713231041405,2.700142030384621,0.851909333040183
2021-05-16,4.047270266781149,4.164094971187314,2.5981582486614605,0.833873892614675
2021-05-17,4.1171805955987875,4.1265285349448195,2.623411375564338,0.8603965991227753
2021-05-18,4.382839845105814,4.243080811492047,2.669061258811848,0.841300250436943
2021-05-19,4.681840943741255,4.345184458715238,2.6894580151564798,0.839178433916295
2021-05-20,4.827039318977889,4.4309129927045205,2.7156824161710067,0.842361158697267
2021-05-21,4.970086607173981,4.543612301432006,2.768131218200061,0.8794929478086075
2021-05-22,5.104529547207901,4.598517092863345,2.8400055024620974,0.9060156543167078
2021-05-23,5.242199117802636,4.672686723393398,2.9429605582969063,0.913442012138976
2021-05-24,5.39492629768117,4.815246532723892,3.0099784720006975,0.921929278221568
2021-05-25,5.583146413728659,5.056057021457833,3.093508045602524,0.9505738012503165
2021-05-26,5.798255117782932,5.539604482835586,3.2333715176800006,1.0068019390474894
2021-05-27,6.21341491660768,5.9846222660159105,3.3810051826506706,1.053481902501746
2021-05-28,6.519944819885018,6.446978404385078,3.600513131883377,1.0906136916130864
2021-05-29,6.778075264750147,6.866951896737072,3.766601004975381,1.0959182329147066
2021-05-30,6.900687226061082,7.281145937359451,3.8588720455820495,1.1553290954928512
2021-05-31,6.887780703817826,7.644288154370234,3.939487796848929,1.1574509120134993
2021-06-01,7.099662777311284,8.64605978750343,4.259036979581497,1.23171449023618
2021-06-02,7.345962243453427,9.767273423048662,4.632006238454768,1.292186261074649
2021-06-03,7.626679102244254,11.067650062211944,4.965153258750425,1.3441707658305255
2021-06-04,7.894489438791824,12.261106844377357,5.318697035390713,1.4078252614499664
2021-06-05,8.163375318859666,13.128024603819547,5.551802822186508,1.4873933809742674
2021-06-06,8.777510668934616,14.138465414547163,5.9587666749674995,1.519220628783988
2021-06-07,9.740122119577489,15.926242482907947,6.555128979520073,1.6635041521880538
