,Occupied beds,Available but unoccupied beds
2020-11-02,486.0,223.0
2020-11-03,486.0,185.0
2020-11-04,489.0,189.0
2020-11-05,494.0,182.0
2020-11-06,493.0,180.0
2020-11-07,509.0,178.0
2020-11-08,515.0,170.0
2020-11-09,520.0,184.0
2020-11-10,536.0,170.0
2020-11-11,510.0,176.0
2020-11-12,521.0,166.0
2020-11-13,541.0,163.0
2020-11-14,531.0,167.0
2020-11-15,534.0,167.0
2020-11-16,529.0,174.0
2020-11-17,562.0,160.0
2020-11-18,567.0,158.0
2020-11-19,565.0,172.0
2020-11-20,570.0,155.0
2020-11-21,581.0,142.0
2020-11-22,582.0,144.0
2020-11-23,574.0,158.0
2020-11-24,570.0,156.0
2020-11-25,561.0,173.0
2020-11-26,569.0,164.0
2020-11-27,583.0,158.0
2020-11-28,558.0,175.0
2020-11-29,560.0,175.0
2020-11-30,535.0,184.0
2020-12-01,546.0,159.0
2020-12-02,563.0,150.0
2020-12-03,574.0,162.0
2020-12-04,572.0,174.0
2020-12-05,538.0,188.0
2020-12-06,539.0,187.0
2020-12-07,567.0,202.0
2020-12-08,582.0,215.0
2020-12-09,592.0,202.0
2020-12-10,588.0,209.0
2020-12-11,594.0,197.0
2020-12-12,588.0,214.0
2020-12-13,574.0,223.0
2020-12-14,535.0,208.0
2020-12-15,545.0,203.0
2020-12-16,566.0,202.0
2020-12-17,541.0,204.0
2020-12-18,536.0,222.0
2020-12-19,533.0,225.0
2020-12-20,510.0,251.0
2020-12-21,512.0,239.0
2020-12-22,539.0,224.0
2020-12-23,538.0,230.0
2020-12-24,547.0,217.0
2020-12-25,532.0,226.0
2020-12-26,523.0,238.0
2020-12-27,541.0,219.0
2020-12-28,527.0,220.0
2020-12-29,562.0,188.0
2020-12-30,577.0,180.0
2020-12-31,593.0,186.0
2021-01-01,608.0,181.0
2021-01-02,584.0,201.0
2021-01-03,598.0,200.0
2021-01-04,615.0,180.0
2021-01-05,624.0,176.0
2021-01-06,643.0,168.0
2021-01-07,645.0,170.0
2021-01-08,685.0,151.0
2021-01-09,682.0,145.0
2021-01-10,684.0,148.0
2021-01-11,692.0,145.0
2021-01-12,739.0,121.0
2021-01-13,757.0,116.0
2021-01-14,761.0,134.0
2021-01-15,765.0,156.0
2021-01-16,797.0,144.0
2021-01-17,788.0,149.0
2021-01-18,824.0,148.0
2021-01-19,845.0,136.0
2021-01-20,859.0,139.0
2021-01-21,879.0,138.0
2021-01-22,888.0,139.0
2021-01-23,880.0,133.0
2021-01-24,873.0,145.0
2021-01-25,880.0,152.0
2021-01-26,909.0,135.0
2021-01-27,918.0,118.0
2021-01-28,894.0,134.0
2021-01-29,902.0,122.0
2021-01-30,884.0,148.0
2021-01-31,865.0,156.0
2021-02-01,860.0,176.0
2021-02-02,859.0,154.0
2021-02-03,892.0,154.0
2021-02-04,867.0,153.0
2021-02-05,857.0,174.0
2021-02-06,837.0,171.0
2021-02-07,833.0,179.0
