,Occupied beds,Available but unoccupied
2020-11-02,246.0,138.0
2020-11-03,257.0,125.0
2020-11-04,258.0,124.0
2020-11-05,261.0,121.0
2020-11-06,269.0,120.0
2020-11-07,273.0,119.0
2020-11-08,275.0,117.0
2020-11-09,273.0,119.0
2020-11-10,276.0,116.0
2020-11-11,279.0,113.0
2020-11-12,274.0,125.0
2020-11-13,280.0,119.0
2020-11-14,270.0,129.0
2020-11-15,259.0,148.0
2020-11-16,261.0,146.0
2020-11-17,273.0,155.0
2020-11-18,287.0,141.0
2020-11-19,269.0,160.0
2020-11-20,265.0,163.0
2020-11-21,261.0,167.0
2020-11-22,251.0,177.0
2020-11-23,249.0,179.0
2020-11-24,261.0,166.0
2020-11-25,278.0,150.0
2020-11-26,276.0,112.0
2020-11-27,275.0,125.0
2020-11-28,266.0,122.0
2020-11-29,258.0,125.0
2020-11-30,259.0,124.0
2020-12-01,292.0,115.0
2020-12-02,289.0,109.0
2020-12-03,275.0,111.0
2020-12-04,291.0,94.0
2020-12-05,281.0,126.0
2020-12-06,266.0,138.0
2020-12-07,285.0,97.0
2020-12-08,301.0,81.0
2020-12-09,302.0,81.0
2020-12-10,304.0,81.0
2020-12-11,299.0,83.0
2020-12-12,304.0,84.0
2020-12-13,293.0,88.0
2020-12-14,290.0,87.0
2020-12-15,306.0,74.0
2020-12-16,311.0,74.0
2020-12-17,321.0,57.0
2020-12-18,304.0,79.0
2020-12-19,285.0,119.0
2020-12-20,284.0,100.0
2020-12-21,311.0,97.0
2020-12-22,311.0,98.0
2020-12-23,338.0,97.0
2020-12-24,341.0,103.0
2020-12-25,330.0,115.0
2020-12-26,336.0,112.0
2020-12-27,359.0,104.0
2020-12-28,366.0,89.0
2020-12-29,390.0,93.0
2020-12-30,417.0,84.0
2020-12-31,422.0,86.0
2021-01-01,426.0,90.0
2021-01-02,436.0,77.0
2021-01-03,462.0,70.0
2021-01-04,455.0,59.0
2021-01-05,464.0,74.0
2021-01-06,490.0,64.0
2021-01-07,505.0,53.0
2021-01-08,534.0,67.0
2021-01-09,533.0,104.0
2021-01-10,533.0,102.0
2021-01-11,561.0,88.0
2021-01-12,562.0,87.0
2021-01-13,559.0,85.0
2021-01-14,555.0,87.0
2021-01-15,540.0,84.0
2021-01-16,468.0,119.0
2021-01-17,499.0,94.0
2021-01-18,541.0,92.0
2021-01-19,567.0,79.0
2021-01-20,562.0,87.0
2021-01-21,556.0,83.0
2021-01-22,556.0,96.0
2021-01-23,566.0,106.0
2021-01-24,558.0,87.0
2021-01-25,579.0,74.0
2021-01-26,567.0,94.0
2021-01-27,554.0,92.0
2021-01-28,546.0,96.0
2021-01-29,544.0,96.0
2021-01-30,537.0,84.0
2021-01-31,546.0,96.0
2021-02-01,503.0,124.0
2021-02-02,538.0,106.0
2021-02-03,493.0,109.0
2021-02-04,488.0,117.0
2021-02-05,475.0,146.0
2021-02-06,449.0,160.0
2021-02-07,441.0,154.0
